,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
319,2019/07/27 06:00:00,4,0.0,0.54,-9.431000000000001,-65.485
320,2019/07/27 06:00:00,3,0.0,0.71,-9.094,-65.618
321,2019/07/27 06:00:00,3,0.0,0.71,-9.142999999999999,-65.568
322,2019/07/27 06:00:00,31,0.0,0.71,-9.105,-65.627
323,2019/07/27 06:00:00,31,0.0,0.71,-9.103,-65.619
324,2019/07/27 06:00:00,31,0.0,0.71,-9.102,-65.63
325,2019/07/27 06:00:00,17,0.0,0.66,-7.402,-59.732
326,2019/07/27 05:18:00,23,0.0,0.65,-7.26775,-59.559709999999995
327,2019/07/27 05:18:00,10,0.0,0.57,-7.152589999999999,-59.49463000000001
414,2019/07/26 14:40:00,21,0.0,0.79,-8.145,-61.418
415,2019/07/26 14:40:00,21,0.0,0.79,-8.14,-61.381
416,2019/07/26 14:40:00,21,0.0,0.79,-8.138,-61.393
417,2019/07/26 14:40:00,21,0.0,0.74,-7.914,-61.537
418,2019/07/26 14:40:00,5,0.0,0.73,-7.904,-61.818999999999996
419,2019/07/26 16:36:00,6,0.0,0.5,-6.897689999999999,-59.703219999999995
420,2019/07/26 14:40:00,5,0.0,0.64,-7.587000000000001,-60.865
421,2019/07/26 16:36:00,20,0.0,0.5,-6.89733,-59.44876
422,2019/07/26 16:36:00,20,0.0,0.5,-6.896789999999999,-59.44602
423,2019/07/26 14:40:00,6,0.0,0.63,-7.545,-60.738
424,2019/07/26 14:40:00,6,0.0,0.63,-7.542999999999999,-60.751000000000005
425,2019/07/26 14:40:00,6,0.0,0.63,-7.541,-60.763999999999996
426,2019/07/26 14:40:00,6,0.0,0.63,-7.531000000000001,-60.762
427,2019/07/26 14:40:00,6,0.0,0.64,-7.3420000000000005,-60.602
428,2019/07/26 14:40:00,22,0.0,0.58,-7.1979999999999995,-59.751000000000005
429,2019/07/26 14:40:00,9,0.0,0.55,-7.154,-59.481
430,2019/07/26 14:40:00,9,0.0,0.55,-7.152,-59.496
431,2019/07/26 14:40:00,5,0.0,0.55,-7.126,-59.94
432,2019/07/26 14:40:00,6,0.0,0.54,-6.994,-59.4
433,2019/07/26 14:40:00,21,0.0,0.54,-6.992000000000001,-59.415
434,2019/07/26 14:40:00,9,0.0,0.52,-6.974,-59.878
435,2019/07/26 14:40:00,5,0.0,0.51,-6.936,-59.742
436,2019/07/26 14:40:00,5,0.0,0.51,-6.934,-59.756
437,2019/07/26 14:40:00,6,0.0,0.5,-6.916,-59.38399999999999
438,2019/07/26 14:40:00,21,0.0,0.5,-6.9079999999999995,-59.445
439,2019/07/26 14:40:00,21,0.0,0.5,-6.906000000000001,-59.46
440,2019/07/26 14:40:00,21,0.0,0.5,-6.891,-59.396
441,2019/07/26 14:40:00,20,0.0,0.49,-6.8870000000000005,-59.685
442,2019/07/26 14:40:00,6,0.0,0.49,-6.877000000000001,-59.758
443,2019/07/26 14:40:00,6,0.0,0.49,-6.865,-59.756
444,2019/07/26 14:40:00,20,0.0,0.48,-6.851,-59.446000000000005
445,2019/07/26 14:40:00,21,0.0,0.47,-6.832999999999999,-59.318999999999996
446,2019/07/26 14:40:00,6,0.0,0.46,-6.824,-59.721000000000004
447,2019/07/26 14:40:00,6,0.0,0.46,-6.8229999999999995,-59.729
448,2019/07/26 14:40:00,6,0.0,0.46,-6.822,-59.736000000000004
449,2019/07/26 14:40:00,21,0.0,0.46,-6.822,-59.317
450,2019/07/26 14:40:00,21,0.0,0.45,-6.82,-59.333
451,2019/07/26 14:40:00,20,0.0,0.45,-6.816,-59.699
452,2019/07/26 14:40:00,6,0.0,0.45,-6.814,-59.713
453,2019/07/26 14:40:00,6,0.0,0.45,-6.812,-59.728
454,2019/07/26 14:40:00,6,0.0,0.44,-6.803,-59.711000000000006
455,2019/07/26 14:40:00,16,0.0,0.41,-6.73,-59.083
456,2019/07/26 14:40:00,16,0.0,0.41,-6.725,-59.089
457,2019/07/26 14:40:00,16,0.0,0.42,-6.718999999999999,-59.081
458,2019/07/26 14:40:00,6,0.0,0.46,-6.547999999999999,-59.98
459,2019/07/26 14:40:00,6,0.0,0.46,-6.547000000000001,-59.994
460,2019/07/26 14:40:00,6,0.0,0.46,-6.545,-60.008
461,2019/07/26 14:40:00,6,0.0,0.14,-5.626,-63.184
462,2019/07/26 16:04:51,6,0.0,0.19,-5.62,-59.88
463,2019/07/26 16:04:51,6,0.0,0.19,-5.62,-59.86
464,2019/07/26 16:04:45,16,0.0,0.42,-6.71,-59.09
465,2019/07/26 16:04:45,16,0.0,0.42,-6.71,-59.07
466,2019/07/26 16:04:45,16,0.0,0.42,-6.72,-59.07
467,2019/07/26 16:04:43,21,0.0,0.44,-6.8,-59.3
468,2019/07/26 16:04:43,21,0.0,0.46,-6.83,-59.34
469,2019/07/26 16:04:43,21,0.0,0.46,-6.83,-59.3
470,2019/07/26 16:04:43,20,0.0,0.49,-6.89,-59.45
471,2019/07/26 16:04:42,9,0.0,0.55,-7.13,-59.5
