,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
38,2017/06/14 16:10:00,0.0,0.0,1.0,-14.277629999999998,-42.810629999999996
39,2017/06/14 16:11:00,0.0,0.0,1.0,-9.794189999999999,-41.77471
51,2017/06/14 16:10:00,0.0,0.0,1.0,-13.652020000000002,-41.45749
52,2017/06/14 03:36:00,0.0,0.0,1.0,-11.835339999999999,-41.33998
53,2017/06/14 16:11:00,0.0,0.0,1.0,-10.37903,-42.51766
541,2017/06/20 03:22:00,0.0,0.0,1.0,-5.89189,-35.34248
891,2017/06/07 13:23:00,0.0,0.0,1.0,-7.357,-41.145
968,2017/06/02 13:04:00,0.0,0.0,0.7,-5.515,-37.121
969,2017/06/08 12:29:00,0.0,0.0,1.0,-9.271,-40.262
1411,2017/06/26 17:32:00,0.0,0.0,1.0,-14.7,-42.25
2031,2017/06/22 15:22:00,0.0,0.3,1.0,-6.454330000000001,-37.93308
2535,2017/06/21 15:41:00,0.0,0.0,1.0,-6.119269999999999,-39.43853
2592,2017/06/09 16:05:00,0.0,0.0,1.0,-11.15967,-38.58035
3254,2017/06/17 16:55:00,0.0,0.0,1.0,-9.67713,-42.07248
3331,2017/06/12 12:00:46,0.0,0.0,1.0,-9.64,-40.87
3880,2017/06/08 16:26:00,0.0,0.0,,-2.9328,-41.96011
4006,2017/06/30 16:13:00,0.0,54.5,,-2.90829,-41.98125
4724,2017/06/10 15:47:00,0.0,0.0,1.0,-7.9916,-38.68953
5020,2017/06/05 15:40:00,0.0,0.0,1.0,-10.27177,-38.76741
5696,2017/06/08 16:23:00,0.0,0.0,1.0,-11.56569,-37.88861
6486,2017/06/17 04:20:00,0.0,0.0,1.0,-9.441,-40.401720000000005
6885,2017/06/15 03:17:00,0.0,0.0,1.0,-9.42816,-40.40643
7022,2017/06/19 16:17:00,0.0,0.0,1.0,-11.977839999999999,-41.3522
7109,2017/06/03 16:17:00,0.0,9.7,1.0,-13.520539999999999,-41.730140000000006
7172,2017/06/28 16:50:00,0.0,0.0,1.0,-7.228389999999999,-43.443709999999996
7772,2017/06/10 03:11:00,0.0,0.0,1.0,-9.43538,-40.411429999999996
