,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
2059,2019/02/01 16:40:00,2.0,2.35,0.0,-9.789,-49.99100000000001
2060,2019/02/01 16:40:00,6.0,0.0,1.0,-9.507,-45.012
2061,2019/02/01 16:35:00,6.0,0.0,0.79,-14.04,-45.483999999999995
2062,2019/02/01 16:35:00,2.0,7.23,0.0,-11.379000000000001,-49.38
2063,2019/02/02 17:20:00,0.0,31.38,0.28,-13.95,-55.026
2064,2019/02/02 17:20:00,2.0,0.0,0.0,-13.869000000000002,-53.196999999999996
2065,2019/02/02 17:15:00,8.0,0.0,1.0,-22.848000000000003,-48.035
2066,2019/02/02 17:20:00,7.0,0.0,1.0,-20.279,-44.973
2963,2019/02/03 18:00:00,0.0,0.0,1.0,-20.773000000000003,-54.648999999999994
3608,2019/02/09 17:25:00,2.0,13.05,0.0,-13.605,-56.358000000000004
3609,2019/02/09 17:25:00,2.0,5.65,0.0,-13.52,-57.053999999999995
3610,2019/02/09 17:25:00,2.0,5.65,0.0,-13.517000000000001,-57.035
4444,2019/02/10 16:30:00,4.0,3.67,0.0,-8.199,-47.065
4445,2019/02/10 16:30:00,0.0,1.23,0.0,-10.074,-47.885
4718,2019/02/11 17:15:00,0.0,0.0,0.55,-7.2379999999999995,-44.093999999999994
4719,2019/02/11 17:10:00,5.0,0.65,1.0,-21.563000000000002,-48.016999999999996
4720,2019/02/11 17:10:00,5.0,0.65,1.0,-21.555,-48.031000000000006
4721,2019/02/11 17:10:00,5.0,0.65,1.0,-21.553,-48.019
4722,2019/02/11 17:10:00,3.0,1.4,0.52,-20.21,-46.477
4723,2019/02/11 17:10:00,3.0,1.4,0.53,-20.21,-46.466
4724,2019/02/11 17:15:00,0.0,0.0,0.03,-9.317,-48.012
4725,2019/02/11 17:15:00,0.0,0.0,0.03,-9.304,-48.013999999999996
4726,2019/02/11 17:15:00,0.0,0.0,0.13,-7.192,-47.111000000000004
4727,2019/02/11 17:15:00,0.0,2.53,0.0,-14.062999999999999,-52.528999999999996
4728,2019/02/11 17:15:00,2.0,2.25,0.0,-13.863,-53.312
4729,2019/02/11 17:15:00,3.0,1.65,0.0,-13.827,-51.735
4730,2019/02/11 17:15:00,2.0,2.28,0.0,-13.815999999999999,-59.12
4731,2019/02/11 17:15:00,0.0,1.63,0.0,-13.779000000000002,-53.566
4732,2019/02/11 17:15:00,0.0,2.13,0.0,-13.647,-58.489
21551,2019/02/15 16:50:00,0.0,0.0,0.21,-9.31,-47.972
21552,2019/02/15 16:50:00,0.0,0.03,0.01,-9.248,-49.016000000000005
21553,2019/02/15 16:50:00,0.0,0.0,0.03,-9.187999999999999,-47.956
21554,2019/02/15 16:50:00,0.0,0.03,0.27,-9.124,-48.405
21555,2019/02/15 16:50:00,0.0,0.0,0.9,-10.835999999999999,-48.357
21556,2019/02/15 16:50:00,6.0,0.95,0.24,-8.843,-45.582
21557,2019/02/15 16:50:00,2.0,0.03,0.4,-14.052,-47.555
21558,2019/02/15 16:50:00,2.0,0.03,0.57,-14.050999999999998,-47.54600000000001
21559,2019/02/15 16:50:00,2.0,0.03,0.4,-14.043,-47.556999999999995
21560,2019/02/15 16:50:00,2.0,0.03,0.57,-14.042,-47.547
21561,2019/02/15 16:50:00,0.0,0.0,0.47,-8.731,-48.1
21562,2019/02/15 16:50:00,0.0,0.0,0.74,-8.73,-48.091
21563,2019/02/15 16:50:00,6.0,0.0,0.56,-8.631,-48.047
21564,2019/02/15 16:50:00,0.0,0.0,0.29,-9.429,-48.482
21565,2019/02/15 16:50:00,0.0,0.43,0.2,-8.426,-46.263999999999996
32458,2019/02/17 16:40:00,6.0,1.75,0.91,-6.974,-45.287
32459,2019/02/17 16:40:00,3.0,0.5,1.0,-6.146,-43.948
33003,2019/02/02 17:20:00,0.0,7.6,,-14.85,-55.535
33004,2019/02/06 16:55:00,0.0,0.18,,-6.702999999999999,-47.483000000000004
33005,2019/02/07 16:05:00,0.0,37.95,,-3.5669999999999997,-43.03
33006,2019/02/07 16:05:00,2.0,8.85,,-3.2680000000000002,-42.858999999999995
33007,2019/02/08 16:40:00,0.0,0.15,,-17.965999999999998,-47.683
34927,2019/02/18 17:20:00,0.0,0.0,0.0,-14.39,-58.281000000000006
34928,2019/02/18 17:20:00,0.0,0.0,0.0,-14.385,-58.287
34929,2019/02/18 17:20:00,0.0,0.0,0.0,-14.383,-58.275
40238,2019/02/20 17:10:00,2.0,0.0,0.11,-8.954,-45.598
40239,2019/02/20 17:05:00,0.0,0.28,0.18,-20.465999999999998,-53.292
40240,2019/02/20 17:05:00,0.0,0.0,0.17,-20.117,-53.427
40241,2019/02/20 17:05:00,0.0,22.8,0.0,-19.578,-47.482
40242,2019/02/20 17:05:00,0.0,27.75,0.0,-14.03,-50.5
40243,2019/02/20 17:05:00,2.0,0.1,0.0,-14.395999999999999,-52.353
40549,2019/02/22 16:55:00,0.0,0.25,0.12,-15.966,-51.396
40550,2019/02/22 16:55:00,0.0,0.25,0.03,-15.847999999999999,-51.575
40551,2019/02/22 16:55:00,0.0,4.22,0.09,-15.655999999999999,-48.028
40552,2019/02/22 16:55:00,0.0,0.0,,-19.002,-46.308
40553,2019/02/22 16:55:00,0.0,1.33,0.15,-17.988,-48.325
40554,2019/02/22 16:55:00,0.0,0.0,0.13,-16.425,-42.407
40843,2019/02/24 16:45:00,3.0,5.23,0.27,-9.135,-44.485
40844,2019/02/24 16:45:00,0.0,0.48,0.49,-7.565,-44.585
40845,2019/02/24 16:45:00,0.0,1.05,0.0,-14.109000000000002,-50.165
40846,2019/02/24 16:45:00,0.0,0.0,0.38,-11.98,-45.755
40847,2019/02/24 16:45:00,0.0,0.48,0.04,-8.401,-47.295
40848,2019/02/24 16:45:00,3.0,0.0,0.82,-8.092,-46.685
40849,2019/02/24 16:45:00,5.0,0.0,0.16,-8.025,-46.728
40850,2019/02/24 16:45:00,0.0,0.0,0.69,-7.711,-46.463
40851,2019/02/24 16:45:00,0.0,0.38,0.01,-8.432,-47.711999999999996
40852,2019/02/24 16:45:00,3.0,0.6,0.86,-13.136,-45.593999999999994
40853,2019/02/24 16:45:00,3.0,0.6,0.4,-13.134,-45.585
40854,2019/02/24 16:45:00,2.0,1.03,0.46,-7.601,-47.17100000000001
40855,2019/02/24 16:45:00,2.0,0.38,0.53,-7.309,-46.354
40856,2019/02/24 16:45:00,0.0,0.0,0.02,-6.682,-47.117
40857,2019/02/24 16:45:00,0.0,0.35,0.08,-6.482,-47.25899999999999
40858,2019/02/24 16:45:00,0.0,0.13,0.0,-5.864,-47.896
41889,2019/02/01 16:35:00,4.0,0.0,0.0,-12.049000000000001,-49.251000000000005
41890,2019/02/01 16:35:00,4.0,0.0,0.0,-12.017000000000001,-48.646
41891,2019/02/01 16:35:00,0.0,0.48,0.0,-11.889000000000001,-51.425
41892,2019/02/04 17:05:00,0.0,1.08,0.5,-14.107000000000001,-55.648
41893,2019/02/04 17:10:00,0.0,1.55,0.0,-14.027999999999999,-57.831
41894,2019/02/06 16:55:00,2.0,28.6,0.02,-14.372,-58.06100000000001
41895,2019/02/06 16:55:00,0.0,35.42,0.02,-13.968,-58.027
41896,2019/02/06 16:55:00,0.0,2.05,0.02,-13.665999999999999,-58.522
41897,2019/02/13 17:00:00,0.0,3.13,0.02,-15.152000000000001,-50.815
41898,2019/02/13 17:00:00,3.0,0.15,0.05,-14.765999999999998,-49.391999999999996
41899,2019/02/13 17:00:00,0.0,0.0,0.01,-21.43,-54.435
41900,2019/02/13 17:00:00,0.0,0.35,0.06,-18.919,-52.343999999999994
41901,2019/02/13 17:00:00,0.0,1.15,0.04,-18.679000000000002,-51.333999999999996
