,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
0,2018/05/28 18:03:15,10.0,0.0,1.0,-21.1,-49.7
4,2018/05/16 08:55:40,0.0,0.0,1.0,-20.280442999999998,-40.239182
5,2018/05/16 08:55:40,0.0,0.0,1.0,-20.290216,-40.241707
6,2018/05/16 08:55:40,0.0,0.0,1.0,-20.291501999999998,-40.233971000000004
7,2018/05/04 21:22:02,0.0,0.0,0.45,-22.941364,-43.744147999999996
14,2018/05/01 23:03:02,0.0,0.0,0.55,-23.2,-47.2
15,2018/05/01 14:15:00,0.0,0.0,1.0,-22.831999999999997,-52.468
16,2018/05/01 14:15:00,0.0,0.0,0.53,-22.295,-54.711000000000006
17,2018/05/01 14:15:00,0.0,0.0,1.0,-22.293000000000003,-54.728
18,2018/05/01 14:15:00,0.0,0.0,0.53,-22.301,-54.717
19,2018/05/01 00:03:00,0.0,0.0,1.0,-23.43,-52.99
20,2018/05/01 00:03:00,0.0,0.0,1.0,-23.45,-52.99
21,2018/05/01 22:33:11,0.0,0.0,0.45,-21.68,-54.37
22,2018/05/01 22:48:05,0.0,0.0,1.0,-22.64,-52.96
23,2018/05/01 22:48:05,0.0,0.0,0.55,-22.66,-52.95
24,2018/05/01 05:00:00,0.0,0.0,0.59,-23.488229999999998,-52.846540000000005
25,2018/05/01 05:00:00,0.0,0.0,0.59,-23.48444,-52.84627
26,2018/05/01 05:00:00,0.0,0.0,0.59,-23.484189999999998,-52.84591999999999
27,2018/05/01 05:00:00,0.0,0.0,1.0,-23.260679999999997,-52.72586
28,2018/05/01 05:00:00,0.0,0.0,1.0,-23.26021,-52.729690000000005
29,2018/05/01 05:00:00,0.0,0.0,1.0,-23.25974,-52.7335
30,2018/05/01 05:00:00,0.0,0.0,1.0,-22.71552,-52.258390000000006
32,2018/05/01 17:30:00,0.0,0.0,1.0,-23.20081,-53.011959999999995
33,2018/05/01 17:30:00,0.0,0.0,1.0,-22.828470000000003,-52.45879
34,2018/05/01 17:30:00,0.0,0.0,1.0,-22.23927,-54.729319999999994
35,2018/05/01 19:16:07,0.0,0.0,1.0,-19.230051,-50.561306
36,2018/05/01 19:16:07,0.0,0.0,1.0,-19.231428,-50.571148
37,2018/05/01 19:16:07,0.0,0.0,1.0,-19.232805,-50.581001
38,2018/05/01 05:00:00,0.0,0.0,1.0,-23.54179,-46.63564
39,2018/05/01 05:00:00,0.0,0.0,1.0,-23.54139,-46.64046
40,2018/05/01 05:00:00,0.0,0.0,1.0,-23.14445,-46.72971
