,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
481,2018/11/02 14:10:00,0.0,0.0,,-33.371,-52.913999999999994
482,2018/11/02 14:10:00,0.0,0.0,,-33.314,-52.846000000000004
483,2018/11/20 16:35:00,0.0,0.0,,-33.319,-52.858000000000004
484,2018/11/20 14:00:00,2.0,0.0,,-29.191,-54.861999999999995
486,2018/11/22 04:18:00,5.0,0.0,0.01,-31.37065,-54.16196
487,2018/11/22 04:18:00,4.0,0.0,0.0,-30.570529999999998,-52.78595
488,2018/11/22 04:18:00,0.0,0.0,0.01,-30.014979999999998,-50.14524
489,2018/11/22 04:18:00,4.0,0.0,0.01,-29.992390000000004,-51.300090000000004
490,2018/11/22 16:42:00,5.0,0.0,0.07,-30.781159999999996,-55.597680000000004
491,2018/11/22 16:42:00,4.0,0.0,0.01,-31.19405,-53.023430000000005
492,2018/11/22 16:42:00,4.0,0.0,0.01,-31.19373,-53.0216
493,2018/11/22 16:42:00,4.0,0.0,0.01,-31.080859999999998,-53.09891999999999
494,2018/11/22 16:42:00,4.0,0.0,0.02,-30.341390000000004,-53.79063000000001
495,2018/11/22 16:42:00,4.0,0.0,0.02,-29.48801,-54.57895
496,2018/11/22 16:42:00,4.0,0.0,0.02,-29.482870000000002,-54.57956
497,2018/11/22 16:42:00,4.0,0.0,0.01,-29.997490000000003,-51.30145
498,2018/11/22 16:42:00,4.0,0.0,0.01,-29.85176,-51.44931
499,2018/11/22 16:42:00,4.0,0.0,0.0,-30.47164,-52.436840000000004
500,2018/11/22 16:42:00,4.0,0.0,0.01,-30.339640000000003,-52.069379999999995
501,2018/11/22 16:42:00,4.0,0.0,0.01,-30.33912,-52.06408
502,2018/11/22 16:42:00,4.0,0.0,0.01,-30.335209999999996,-52.0703
533,2018/11/29 13:55:00,5.0,0.0,0.0,-30.456999999999997,-56.20399999999999
534,2018/11/29 13:50:00,0.0,0.0,0.04,-28.500999999999998,-55.92
535,2018/11/30 17:30:00,3.0,0.0,0.01,-31.953509999999998,-53.85613000000001
536,2018/11/30 17:30:00,2.0,0.0,0.0,-31.68654,-52.70259
537,2018/11/30 17:30:00,3.0,0.0,0.01,-31.09913,-53.96756
6674,2018/11/01 16:36:00,0.0,0.03,0.0,-31.43242,-53.64641999999999
6675,2018/11/01 16:36:00,0.0,0.03,0.0,-31.426940000000002,-53.64703000000001
6676,2018/11/01 16:36:00,3.0,1.52,0.0,-31.13099,-54.81211
6677,2018/11/01 16:36:00,0.0,0.75,0.0,-31.06734,-55.0289
6678,2018/11/01 16:36:00,0.0,0.75,0.0,-31.0644,-55.02994
6679,2018/11/02 14:10:00,2.0,0.0,0.0,-28.549,-55.913999999999994
6680,2018/11/02 14:10:00,2.0,0.0,0.0,-28.538,-55.912
6681,2018/11/02 17:54:00,2.0,0.0,0.0,-31.293020000000002,-52.408559999999994
6682,2018/11/02 17:54:00,2.0,0.0,0.0,-31.292540000000002,-52.41023
6683,2018/11/02 17:54:00,2.0,0.0,0.0,-31.24655,-52.67661
6684,2018/11/02 17:54:00,2.0,0.0,0.0,-31.0415,-52.446659999999994
6685,2018/11/02 18:00:00,2.0,0.0,0.0,-30.73907,-52.677040000000005
6686,2018/11/02 18:00:00,2.0,0.0,0.0,-29.87475,-51.85136
6687,2018/11/03 17:36:00,2.0,1.77,0.0,-31.37805,-54.14821
6688,2018/11/04 04:35:00,0.0,0.0,0.0,-29.123,-54.919
6689,2018/11/04 17:18:00,0.0,0.0,0.0,-31.702440000000003,-52.33146
6690,2018/11/04 17:18:00,0.0,0.0,0.0,-31.99025,-53.530159999999995
6691,2018/11/04 17:18:00,0.0,0.0,0.0,-31.65142,-53.03349
6692,2018/11/05 04:36:00,2.0,0.0,0.0,-30.15128,-52.02662
6693,2018/11/05 04:36:00,0.0,0.0,0.0,-30.133640000000003,-51.3215
6694,2018/11/05 04:36:00,2.0,0.0,0.0,-29.816390000000002,-51.17588
