,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
131,2019/07/26 05:42:00,0,0.01,0.03,-16.76875,-58.32233000000001
132,2019/07/26 18:33:39,0,0.01,0.03,-16.77,-58.31
133,2019/07/26 17:30:00,0,0.01,0.03,-16.773,-58.316
134,2019/07/26 17:30:00,0,0.01,0.03,-16.762999999999998,-58.317
135,2019/07/26 17:30:00,4,0.0,0.18,-15.98,-58.957
136,2019/07/26 18:12:00,0,0.01,0.03,-16.7661,-58.31031
137,2019/07/26 18:12:00,4,0.0,0.18,-15.97896,-58.95451
138,2019/07/26 17:30:00,0,0.0,0.03,-19.153,-56.995
139,2019/07/26 17:30:00,0,0.0,0.02,-19.144000000000002,-56.997
140,2019/07/26 17:30:00,0,0.73,0.02,-19.131,-57.16
141,2019/07/26 17:30:00,0,0.73,0.02,-19.129,-57.151
142,2019/07/26 17:30:00,0,1.37,0.0,-18.971,-57.211000000000006
143,2019/07/26 17:30:00,0,1.37,0.0,-18.964000000000002,-57.218
144,2019/07/26 17:30:00,0,1.37,0.0,-18.963,-57.208999999999996
145,2019/07/26 17:30:00,0,1.19,0.0,-18.81,-57.239
146,2019/07/26 17:30:00,0,1.19,0.0,-18.809,-57.23
147,2019/07/26 16:30:00,0,0.0,0.01,-19.855629999999998,-57.76623000000001
148,2019/07/26 16:30:00,0,0.0,0.01,-19.8488,-57.7668
149,2019/07/26 16:30:00,0,0.0,0.01,-19.84829,-57.76036
150,2019/07/26 16:30:00,0,0.0,0.01,-19.84146,-57.76095
151,2019/07/26 16:30:00,0,0.0,0.01,-19.76353,-57.65413
152,2019/07/26 16:30:00,0,0.0,0.05,-19.45495,-56.48695
153,2019/07/26 16:30:00,0,0.0,0.22,-19.22618,-55.66737
154,2019/07/26 16:30:00,0,0.0,0.22,-19.22577,-55.662780000000005
155,2019/07/26 16:30:00,0,0.0,0.23,-19.22469,-55.6712
156,2019/07/26 16:30:00,0,0.0,0.22,-19.224239999999998,-55.66661
157,2019/07/26 16:30:00,0,0.0,0.22,-19.22019,-55.66798000000001
158,2019/07/26 16:30:00,0,0.0,0.21,-19.21978,-55.66339
159,2019/07/26 16:30:00,0,0.0,0.2,-19.20336,-56.811840000000004
170,2019/07/27 13:50:00,2,0.0,0.37,-20.031,-57.818999999999996
171,2019/07/27 13:50:00,2,0.0,0.33,-20.029,-57.813
172,2019/07/27 13:50:00,2,0.0,0.38,-19.84,-57.451
173,2019/07/27 13:50:00,2,0.0,0.38,-19.39,-56.477
174,2019/07/27 13:50:00,2,0.0,0.38,-19.387999999999998,-56.489
175,2019/07/27 13:50:00,2,0.0,0.36,-19.192999999999998,-56.851000000000006
176,2019/07/27 13:50:00,2,0.0,0.14,-19.13,-57.158
177,2019/07/27 13:50:00,2,0.0,0.14,-19.125999999999998,-57.15
178,2019/07/27 13:50:00,2,0.0,0.42,-19.095,-55.842
179,2019/07/27 13:50:00,2,0.0,0.39,-19.085,-55.841
180,2019/07/27 13:50:00,2,0.0,1.0,-18.779,-56.141000000000005
181,2019/07/27 13:50:00,2,0.0,1.0,-18.777,-56.153
182,2019/07/27 13:50:00,2,0.0,0.37,-16.797,-57.217
204,2019/07/27 18:15:00,2,0.0,0.41,-20.304000000000002,-57.823
205,2019/07/27 18:15:00,2,0.0,1.0,-19.829,-56.233000000000004
206,2019/07/27 18:15:00,2,0.0,0.21,-19.631,-57.446999999999996
207,2019/07/27 18:15:00,2,0.0,0.14,-19.13,-57.15
208,2019/07/27 18:15:00,2,0.0,0.14,-19.114,-57.153999999999996
209,2019/07/27 18:15:00,2,0.0,0.14,-19.102,-57.152
221,2019/07/27 17:54:00,2,0.0,0.13,-20.815160000000002,-57.861180000000004
222,2019/07/27 17:54:00,2,0.0,0.13,-20.81077,-57.862140000000004
223,2019/07/27 17:54:00,2,0.0,0.13,-20.80989,-57.85759
