id,latitude,longitude,area(m²),bioma
1273,4.625,-60.33,2454011.839654298,Amazonia
1274,4.62375,-60.28875,4908040.542786787,Amazonia
1279,4.49,-60.085,2454460.528153038,Amazonia
1280,4.48,-60.39,1227246.6178931093,Amazonia
1281,4.48,-60.255,2454493.2357862187,Amazonia
1283,4.465,-60.38,2454542.151610097,Amazonia
1285,4.455,-60.41,2454574.6772084474,Amazonia
1287,4.43,-60.895,2454655.6817321866,Amazonia
1289,4.395,-60.551667,4909552.629397824,Amazonia
1290,4.375,-60.53,2454832.260549551,Amazonia
1291,4.37,-60.84,1227424.1069317232,Amazonia
1292,4.37,-60.81,1227424.1069317232,Amazonia
1293,4.365,-60.71,2454864.1307716905,Amazonia
1294,4.37,-59.86,1227424.1069317232,Amazonia
1295,4.36,-60.85,1227440.0238377766,Amazonia
1296,4.360385,-59.882692,7364640.106625388,Amazonia
1297,4.350455,-60.800455,12274590.476635333,Amazonia
1298,4.354375,-60.49875,13502014.619972708,Amazonia
1299,4.32,-60.9675,14730024.047681812,Amazonia
1300,4.3125,-60.57625,14730165.552041901,Amazonia
1301,4.31,-59.945,7365114.19109194,Amazonia
1302,4.305,-59.92,2455053.8228218113,Amazonia
1303,4.29,-60.57,1227550.4226433705,Amazonia
1304,4.285,-59.981667,6137783.364424622,Amazonia
1306,4.281,-60.595,9820512.687546425,Amazonia
1307,4.28,-60.57,1227566.0482472554,Amazonia
1308,4.26,-60.525,2455194.380423567,Amazonia
1309,4.25,-60.2325,7365691.682944468,Amazonia
1310,4.24,-60.53,1227628.1865153697,Amazonia
1311,4.254444,-60.461667,22096655.451678213,Amazonia
1312,4.24,-60.255,2455256.3730263584,Amazonia
1313,4.24,-60.01,1227628.1865131792,Amazonia
1314,4.237,-60.893,22097214.077001296,Amazonia
1315,4.23,-60.54,1227643.6300406132,Amazonia
1316,4.225,-60.02,2455302.6671931515,Amazonia
1317,4.23,-60.0,1227643.6300406132,Amazonia
1318,4.215,-60.67,2455333.445002587,Amazonia
1319,4.215,-59.92,2455333.445002587,Amazonia
1320,4.21,-60.71,1227674.4078467633,Amazonia
1321,4.21,-60.035,2455348.8156935265,Amazonia
1324,4.18,-60.725,2455440.602855242,Amazonia
1325,4.165,-61.23,4910972.483014545,Amazonia
1326,4.165,-60.81,2455486.2415078203,Amazonia
1327,4.17,-60.57,1227735.526451047,Amazonia
1328,4.16,-60.38,1227750.7150567733,Amazonia
1330,4.15,-61.205,2455531.7344874092,Amazonia
1331,4.145,-60.828333,4911078.584742954,Amazonia
1332,4.163182,-60.784091,12277446.214053044,Amazonia
1333,4.138333,-60.361667,9822232.675486809,Amazonia
1335,4.121667,-60.995,13505906.96956933,Amazonia
1336,4.13,-60.91,1227796.0623600867,Amazonia
1337,4.13,-60.835,2455592.1247201734,Amazonia
1338,4.155645,-60.660806,95765044.47023788,Amazonia
1339,4.13,-60.66,1227796.0623600867,Amazonia
1342,4.12,-60.985,2455622.2105768844,Amazonia
1344,4.113462,-60.888846,22100899.333373494,Amazonia
1345,4.105,-60.705,3683493.3054814884,Amazonia
1347,4.08,-61.06,6139354.563984142,Amazonia
1348,4.08,-60.295,2455741.8255927805,Amazonia
1349,4.085,-61.291,8595036.727756202,Amazonia
1350,4.075,-60.74,2455756.6864162083,Amazonia
1351,4.075,-60.715,3683627.5992169795,Amazonia
1353,4.065,-60.315,3683686.969672005,Amazonia
1354,4.07,-60.28,1227885.773624199,Amazonia
1357,4.06,-60.29,1227900.5980222602,Amazonia
1359,4.063667,-61.226,25785807.87713011,Amazonia
1360,4.05,-60.05,1227915.3860037168,Amazonia
1362,4.033,-61.068,29470440.075553052,Amazonia
1363,4.04,-61.055,2455860.275123995,Amazonia
1364,4.04,-60.04,1227930.1375619974,Amazonia
1365,4.025,-60.645,4911808.768205692,Amazonia
1366,4.03,-60.5,1227944.852697102,Amazonia
1367,4.025,-60.32,2455904.384102846,Amazonia
1369,4.02,-60.76,1227959.5314068396,Amazonia
1370,4.015,-60.445,3683893.2365114614,Amazonia
1371,4.01,-60.73,1227974.1736944965,Amazonia
1372,4.01,-60.48,1227974.1736966872,Amazonia
1373,4.01,-60.31,1227974.1736966872,Amazonia
1374,4.0,-60.68,1227988.7795556916,Amazonia
1375,4.0,-60.49,1227988.7795556916,Amazonia
1376,4.0,-60.46,3683966.3386725513,Amazonia
1377,4.0,-59.61,1227988.779557882,Amazonia
1378,3.995,-59.625,3683995.47755297,Amazonia
1379,4.008125,-60.24125,18419612.241179116,Amazonia
1380,3.99,-59.815,2456006.6979961833,Amazonia
1381,3.976429,-61.232143,12280207.667609021,Amazonia
1382,4.019,-60.488667,143672755.62811953,Amazonia
1383,3.98,-60.49,1228017.882010744,Amazonia
1384,3.98,-59.8,1228017.8820129344,Amazonia
1387,3.9575,-61.28,8596298.914616436,Amazonia
1388,3.97,-60.66,1228032.3786024107,Amazonia
1389,3.96,-59.83,3684140.4798741937,Amazonia
1390,3.940333,-60.555667,38069954.61064337,Amazonia
1391,3.955,-60.555,3684169.3637781413,Amazonia
1392,3.9525,-60.47,6140263.041312277,Amazonia
1393,3.970294,-60.304412,19648604.345096745,Amazonia
1394,3.95,-60.69,1228061.262505263,Amazonia
1395,3.953571,-59.895,3684169.363780332,Amazonia
1396,3.931667,-61.345,6140464.281557377,Amazonia
1397,3.94,-61.29,1228075.6498186393,Amazonia
1398,3.94,-61.15,1228075.6498186393,Amazonia
1399,3.94,-60.63,1228075.6498186393,Amazonia
1404,3.97734,-60.694362,130170972.35566884,Amazonia
1405,3.927,-60.877,36842195.04456204,Amazonia
1406,3.933,-61.155,25789803.36308507,Amazonia
1407,3.93,-60.3625,28246455.668809704,Amazonia
1409,3.915,-61.32,2456222.9083627164,Amazonia
1410,3.915,-60.64,2456222.9083627164,Amazonia
1411,3.915,-59.718333,7368640.169021265,Amazonia
1412,3.91,-61.115,2456237.186395612,Amazonia
1413,3.91,-60.77,1228118.593197806,Amazonia
1414,3.9,-59.73,1228132.834803144,Amazonia
1415,3.891667,-59.705,4912573.918323838,Amazonia
1416,3.89,-60.796429,8597029.243446583,Amazonia
1417,3.88,-60.53,1228161.2087344343,Amazonia
1419,3.862273,-61.004091,7369094.333995075,Amazonia
1420,3.865345,-60.541552,54039712.45635232,Amazonia
1421,3.86,-60.311667,24563971.22055406,Amazonia
1422,3.86,-61.01,1228189.4369467339,Amazonia
1423,3.86,-60.76,1228189.4369467339,Amazonia
1425,3.85,-60.72,1228203.4964120954,Amazonia
1426,3.85,-60.7,1228203.4964131906,Amazonia
1427,3.85,-60.53,1228203.4964131906,Amazonia
1429,3.843571,-61.015,3684638.5353053235,Amazonia
1430,3.84,-60.78,1228217.519446614,Amazonia
1431,3.860098,-60.754608,206330832.06751516,Amazonia
1433,3.835,-60.99,2456449.025497999,Amazonia
1435,3.834231,-59.876538,17195142.92348433,Amazonia
