id,latitude,longitude,area(m²),bioma
3741,5.0,-60.46,1226347.9525589866,Amazonia
3746,4.99,-60.475,2452732.3252514224,Amazonia
3756,4.98,-60.46,1226384.3363010224,Amazonia
3779,4.95,-60.405,2452877.2780182883,Amazonia
3823,4.9,-60.48,1226528.415744066,Amazonia
3830,4.89,-60.47,1226546.2619196582,Amazonia
3844,4.875,-60.28,2453145.9168081065,Amazonia
3887,4.82,-60.605,2453340.3323718905,Amazonia
3892,4.81,-60.265,2453375.4424451287,Amazonia
3907,4.79,-60.28,1226722.722116086,Amazonia
3915,4.78,-60.67,1226740.167970798,Amazonia
3916,4.78,-60.27,1226740.1679686077,Amazonia
3924,4.77,-60.68,1226757.5774242394,Amazonia
3984,4.7,-60.6,1226878.4245248488,Amazonia
3995,4.685,-60.59,2453808.167488876,Amazonia
4135,4.51,-60.42,1227197.4472209064,Amazonia
4142,4.5,-60.41,1227213.873850991,Amazonia
4145,4.49,-60.52,1227230.2640754238,Amazonia
4152,4.48,-60.6,1227246.6178931093,Amazonia
4153,4.48,-60.57,1227246.6178931093,Amazonia
4154,4.48,-60.44,1227246.6178931093,Amazonia
4155,4.48,-60.35,1227246.6178909189,Amazonia
4156,4.48,-60.32,1227246.6178931093,Amazonia
4157,4.498125,-60.294375,13499352.175485412,Amazonia
4166,4.47,-60.43,1227262.9353029528,Amazonia
4167,4.47,-60.31,1227262.9353051432,Amazonia
4172,4.46,-60.545,2454558.4326142888,Amazonia
4186,4.445,-60.518333,6136525.929069845,Amazonia
4187,4.455,-60.358000000000004,20863957.529276032,Amazonia
4188,4.445,-60.31,2454607.129992208,Amazonia
4196,4.440385,-61.20423100000001,8591197.818985062,Amazonia
4197,4.44,-60.59,1227311.6690887143,Amazonia
4206,4.466282,-60.572435999999996,45409519.31223189,Amazonia
4213,4.42,-60.745,2454687.95247345,Amazonia
4215,4.407222,-60.439443999999995,12273600.642727805,Amazonia
4216,4.41,-60.43,1227360.0751951332,Amazonia
4223,4.395,-60.22,2454768.301630836,Amazonia
4228,4.39,-60.47,1227392.1638851368,Amazonia
4236,4.37,-60.3,1227424.1069317232,Amazonia
4241,4.36,-60.745,2454880.047679934,Amazonia
4242,4.366429,-60.505,4909712.308228388,Amazonia
4243,4.365,-60.28,4909728.261546667,Amazonia
4248,4.35,-61.05,1227455.9043348923,Amazonia
4249,4.35,-60.745,2454911.8086697846,Amazonia
4250,4.344333,-60.621667,14729502.394539598,Amazonia
4251,4.3725,-60.173,30685409.95910618,Amazonia
4254,4.335,-61.105,3682431.0529254507,Amazonia
4260,4.33,-61.06,1227487.556090263,Amazonia
4265,4.32,-61.12,1227503.327349613,Amazonia
4266,4.32,-60.145,2455006.654699226,Amazonia
4269,4.33119,-60.756905,35597185.38440286,Amazonia
4279,4.31,-61.03,1227519.062193454,Amazonia
4286,4.334231,-61.039103000000004,38051572.62694489,Amazonia
4287,4.302778,-60.867222,17185548.896276593,Amazonia
4288,4.3,-60.86,1227534.760627262,Amazonia
4289,4.3,-60.74,1227534.7606239764,Amazonia
4290,4.326429,-60.673570999999995,24549892.18920333,Amazonia
4291,4.3,-60.57,1227534.7606250716,Amazonia
4292,4.29,-60.31,3682651.2315200795,Amazonia
4298,4.29,-60.755,2455100.845286741,Amazonia
4299,4.306935,-60.560483999999995,38053231.412783146,Amazonia
4304,4.28,-61.095,4910264.192989022,Amazonia
4305,4.28,-60.89,1227566.0482494459,Amazonia
4306,4.285,-60.64,7365349.412670783,Amazonia
4307,4.28,-59.86,1227566.0482472554,Amazonia
4314,4.27,-61.015,2455163.2748734527,Amazonia
4315,4.265,-60.63,2455178.8276463198,Amazonia
4316,4.265,-59.84,9820792.965210747,Amazonia
4321,4.26,-60.825,2455194.380419186,Amazonia
4322,4.26,-60.28,1227597.1902117834,Amazonia
4323,4.26,-59.975,2455194.380419186,Amazonia
4328,4.25,-60.125,2455225.413138281,Amazonia
4329,4.245,-60.015,3682869.0795954983,Amazonia
4334,4.247308,-61.037307999999996,14731367.667456225,Amazonia
4340,4.23,-59.985,4910574.483748038,Amazonia
4347,4.23,-61.01,1227643.6300406132,Amazonia
4348,4.23,-60.86,1227643.6300417085,Amazonia
4353,4.215,-61.205,3682992.4821507437,Amazonia
4354,4.235588,-60.864412,33145913.90412905,Amazonia
4355,4.22,-60.005,2455318.074305076,Amazonia
4356,4.215,-59.94,2455333.4449993013,Amazonia
4357,4.215,-59.92,2455333.445002587,Amazonia
4364,4.205,-60.8825,6138402.707785771,Amazonia
4365,4.21,-60.13,3683023.2235370036,Amazonia
4371,4.2,-61.18,1227689.7421243838,Amazonia
4372,4.203571,-60.410714,6138418.0420666775,Amazonia
4373,4.2,-60.02,1227689.7421243838,Amazonia
4374,4.195,-59.905,3683084.5242297854,Amazonia
4375,4.1875,-59.815,6138555.649969472,Amazonia
4377,4.19,-61.005,2455410.079966419,Amazonia
4378,4.185,-59.845,3683130.381392945,Amazonia
4385,4.173,-60.395,7366352.258611483,Amazonia
4386,4.18,-59.83,1227720.301427621,Amazonia
4394,4.17,-61.14,1227735.5264532377,Amazonia
4395,4.17,-61.01,1227735.526451047,Amazonia
4396,4.17,-60.42,1227735.526451047,Amazonia
4400,4.16,-61.19,1227750.7150578685,Amazonia
4401,4.16,-60.19,3683252.145169225,Amazonia
4402,4.171875,-60.016875,17188175.35161229,Amazonia
4408,4.129,-61.409,30695126.146766014,Amazonia
4409,4.170652,-61.182391,93308711.89154184,Amazonia
4410,4.167857,-60.987857,17188433.63074394,Amazonia
4411,4.190385,-60.691538,76117291.35209173,Amazonia
4412,4.15,-60.0,1227765.8672437046,Amazonia
4418,4.14,-60.705,2455561.9660236817,Amazonia
4419,4.14,-60.69,1227780.9830118408,Amazonia
4420,4.14,-59.86,1227780.9830118408,Amazonia
4423,4.13,-61.3,1227796.062360087,Amazonia
4424,4.13,-60.69,1227796.062360087,Amazonia
4425,4.13,-60.115,2455592.124722364,Amazonia
4426,4.125,-59.975,4911214.335297058,Amazonia
4427,4.125909,-59.904091,14733642.860213805,Amazonia
4428,4.13,-59.87,1227796.0623622772,Amazonia
4434,4.109,-60.836999999999996,11050374.943716226,Amazonia
4435,4.12,-60.79,3683433.3158653267,Amazonia
4436,4.115,-60.35,2455637.2170798737,Amazonia
4444,4.1,-60.08,7367016.514716951,Amazonia
4445,4.11,-59.995,2455652.2235960057,Amazonia
4458,4.087727,-60.784091000000004,8594992.036020773,Amazonia
4459,4.09,-60.365,2455712.0311083347,Amazonia
4464,4.08,-61.3,1227870.9127974857,Amazonia
4465,4.08,-60.855,2455741.825594971,Amazonia
4466,4.08,-60.795,2455741.825594971,Amazonia
4467,4.08,-60.31,1227870.9127985807,Amazonia
4468,4.09,-60.305,20873536.78440014,Amazonia
4470,4.08,-60.815,4911483.614768957,Amazonia
4483,4.065,-61.418333,6139473.341316273,Amazonia
4484,4.07,-60.795,2455771.547244017,Amazonia
4485,4.065,-60.24,2455786.371643173,Amazonia
4486,4.071522,-59.99369599999999,29469302.53023297,Amazonia
4496,4.104744,-61.307564,77353662.09583716,Amazonia
4497,4.06,-60.26,1227900.5980244507,Amazonia
4498,4.06,-59.99,1227900.5980244507,Amazonia
4507,4.038333000000001,-61.361667000000004,11051326.946952293,Amazonia
4508,4.045,-60.25,2455845.5235657142,Amazonia
4509,4.0489999999999995,-60.221000000000004,7367477.49162424,Amazonia
4517,4.04,-61.08,1227930.1375619974,Amazonia
4518,4.049615,-60.171154,9823308.227204116,Amazonia
4519,4.04,-59.94,11051385.880341252,Amazonia
4528,4.02,-61.105,9823676.178410554,Amazonia
4529,4.03,-61.07,1227944.852696007,Amazonia
4530,4.013333,-60.643333,11051664.921545263,Amazonia
4531,4.025,-60.615,3683849.2367988527,Amazonia
4532,4.03,-60.21,1227944.852696007,Amazonia
4533,4.025,-60.17,2455904.384102846,Amazonia
4539,4.015,-61.371667,4911882.05249252,Amazonia
4544,4.005,-60.84,2455962.953252379,Amazonia
4549,4.0,-61.11,1227988.779557882,Amazonia
4550,4.01,-60.84,22103432.04770557,Amazonia
4552,4.0,-60.14,3683966.3022504714,Amazonia
4556,3.995,-60.726110999999996,6139958.4672296215,Amazonia
4557,3.995,-60.055,3683980.908118237,Amazonia
4566,4.008125,-61.286875,15963634.49994528,Amazonia
4567,3.99,-61.095,2456006.6979961838,Amazonia
4568,3.99,-60.655,2456006.6979961838,Amazonia
4569,3.99,-60.63,1228003.3489980916,Amazonia
4575,3.97,-60.305,8596197.584188284,Amazonia
4576,3.98,-60.05,1228017.8820129344,Amazonia
4589,3.9640910000000003,-60.792273,22104813.631083168,Amazonia
4590,3.97,-60.725,2456064.7572048213,Amazonia
4595,3.96,-61.4,1228046.83876652,Amazonia
4596,3.955,-59.635,3684154.940036113,Amazonia
4602,3.95,-61.39,1228061.2625063583,Amazonia
4603,3.95,-61.36,1228061.2625063583,Amazonia
4604,3.95,-61.34,1228061.2625063583,Amazonia
4605,3.945,-60.31,2456136.9123260933,Amazonia
4606,3.95,-59.62,1228061.2625063583,Amazonia
4616,3.935,-60.285,3684255.651227556,Amazonia
4633,3.9358,-60.196999999999996,27017605.471822724,Amazonia
4638,3.91,-60.305,2456237.186395612,Amazonia
4639,3.91,-60.17,1228118.593197806,Amazonia
4645,3.9,-60.18,1228132.834803144,Amazonia
4646,3.9,-60.06,1228132.8348053345,Amazonia
4647,3.9,-60.05,1228132.834803144,Amazonia
4654,3.885,-60.5925,6140749.368660323,Amazonia
