id,latitude,longitude,area(m²),bioma
1944,-2.94,-39.86,1229330.376608913,Caatinga
1965,-2.97,-40.57,3687894.1130964817,Caatinga
1986,-3.015,-41.515,3687741.229654258,Caatinga
2015,-3.035,-40.78,2458453.6799689233,Caatinga
2020,-3.04,-40.32,3687663.913050757,Caatinga
2024,-3.045,-41.465,4916863.001959407,Caatinga
2025,-3.045,-41.415,4916863.001961597,Caatinga
2026,-3.045,-40.86,2458431.500978608,Caatinga
2040,-3.05,-41.24,1229210.1966301813,Caatinga
2041,-3.05,-40.09,1229210.1966290858,Caatinga
2058,-3.056429,-41.615,3687608.301545269,Caatinga
2059,-3.06,-41.45,1229199.052459187,Caatinga
2060,-3.06,-41.25,1229199.0524569966,Caatinga
2061,-3.065,-41.0675,8604359.825328844,Caatinga
2062,-3.06,-40.13,1229199.052459187,Caatinga
2063,-3.065,-40.1,2458386.924292441,Caatinga
2064,-3.06,-40.08,1229199.052459187,Caatinga
2071,-3.07,-41.215,2458375.7436665082,Caatinga
2072,-3.08,-41.165,4916706.582574304,Caatinga
2073,-3.07,-40.86,1229187.8718321586,Caatinga
2074,-3.07,-40.12,1229187.8718332541,Caatinga
2087,-3.085,-41.595,3687507.457212907,Caatinga
2100,-3.095,-41.415,3687484.913707156,Caatinga
2101,-3.095,-41.23,2458319.5124752508,Caatinga
2102,-3.09,-40.945,2458330.802455048,Caatinga
2103,-3.09,-40.855,2458330.8024572385,Caatinga
2114,-3.105,-41.57,2458296.896064004,Caatinga
2115,-3.105,-41.5,2458296.8960661944,Caatinga
2116,-3.1,-40.96,1229154.1112499174,Caatinga
2117,-3.09625,-40.62875,4916627.734977277,Caatinga
2125,-3.11,-40.86,1229142.784816277,Caatinga
2126,-3.11,-40.65,1229142.7848173722,Caatinga
2127,-3.11,-39.985,2458285.5696347444,Caatinga
2133,-3.12,-40.87,1229131.4219364594,Caatinga
2134,-3.12,-40.85,1229131.4219375546,Caatinga
2135,-3.12,-40.64,1229131.4219364594,Caatinga
2136,-3.12,-40.01,1229131.4219364594,Caatinga
2143,-3.125,-41.261666999999996,8603885.755561901,Caatinga
2152,-3.13,-41.24,1229120.0226049891,Caatinga
2153,-3.13,-40.61,1229120.0226038937,Caatinga
2154,-3.13,-40.02,1229120.0226049891,Caatinga
2166,-3.145,-41.67,2458205.70141224,Caatinga
2167,-3.14,-41.35,1229108.586821865,Caatinga
2168,-3.14,-41.23,1229108.5868196746,Caatinga
2169,-3.14,-40.62,1229108.5868207698,Caatinga
2170,-3.14,-40.03,1229108.586821865,Caatinga
2171,-3.14,-40.02,1229108.5868207698,Caatinga
2185,-3.15,-41.34,1229097.114589279,Caatinga
2186,-3.150455,-41.290455,7374571.142403067,Caatinga
2187,-3.15,-41.24,1229097.1145903743,Caatinga
2198,-3.165,-41.638333,4916330.87849741,Caatinga
2199,-3.16,-41.375,2458171.211816651,Caatinga
2200,-3.16,-41.35,1229085.6059083254,Caatinga
2201,-3.16,-41.23,1229085.605906135,Caatinga
2202,-3.155,-40.018125,11061793.288279666,Caatinga
2203,-3.16,-39.99,1229085.6059083254,Caatinga
2217,-3.17,-41.34,1229074.060772433,Caatinga
2218,-3.17,-41.085,2458148.121544866,Caatinga
2219,-3.175,-40.74,2458136.539967178,Caatinga
2220,-3.17,-40.6,1229074.0607735282,Caatinga
2221,-3.175,-40.575,3687210.600737421,Caatinga
2222,-3.17,-40.055,2458148.1215470564,Caatinga
2242,-3.18,-41.705,2458124.9583873,Caatinga
2243,-3.185,-41.321667,4916215.0626810985,Caatinga
2244,-3.18,-41.23,1229062.479191459,Caatinga
2245,-3.185,-41.18,2458113.3403546717,Caatinga
2246,-3.185,-40.695,3687164.20151679,Caatinga
2247,-3.185,-40.59,2458113.3403546717,Caatinga
2257,-3.19,-41.69,1229050.861162118,Caatinga
2258,-3.19,-41.22,1229050.861162118,Caatinga
2259,-3.19,-40.48,1229050.861161023,Caatinga
2260,-3.195,-40.385,3687140.92900755,Caatinga
2261,-3.19,-40.24,1229050.861162118,Caatinga
2262,-3.19,-40.155,2458101.722324236,Caatinga
2263,-3.195,-40.12,2458090.0678465273,Caatinga
2275,-3.2,-41.675,2458078.4133644374,Caatinga
2276,-3.2,-41.2,1229039.2066822187,Caatinga
2277,-3.2,-40.47,1229039.2066822187,Caatinga
2278,-3.2,-40.225,2458078.4133644374,Caatinga
2279,-3.1783330000000003,-40.365,8603425.335381022,Caatinga
2282,-3.207,-41.263000000000005,9832196.416155117,Caatinga
2290,-3.187632,-41.609737,12290531.628988562,Caatinga
2291,-3.211667,-41.075,6145149.233254042,Caatinga
2292,-3.205,-40.715,3687105.9291205807,Caatinga
2300,-3.21,-41.6,1229027.5157539523,Caatinga
2301,-3.21,-41.26,1229027.5157550478,Caatinga
2302,-3.215,-41.245,3687070.819891795,Caatinga
2303,-3.21,-41.185,2458055.0315079046,Caatinga
2304,-3.215,-40.4,2458043.3041356527,Caatinga
2305,-3.21,-40.16,1229027.5157550478,Caatinga
2306,-3.215,-40.03,2458043.3041367475,Caatinga
2318,-3.242778,-41.686111,24579854.53645997,Caatinga
2319,-3.22,-41.61,1229015.7883806045,Caatinga
2320,-3.219615,-41.513462,9832149.688893702,Caatinga
2321,-3.225,-41.385,3687023.8374874312,Caatinga
2322,-3.22,-40.986667,8603098.718388673,Caatinga
2323,-3.22,-40.65,1229015.7883806045,Caatinga
2324,-3.225,-40.48,2458019.8129340173,Caatinga
2325,-3.22,-40.195,2458031.576761209,Caatinga
2338,-3.23,-41.6,1229004.0245545085,Caatinga
2339,-3.24,-41.42,9831925.884645984,Caatinga
2340,-3.23,-41.07,1229004.0245545085,Caatinga
2341,-3.23,-40.215,2458008.0491112075,Caatinga
2342,-3.2216669999999996,-40.149444,7374071.166177591,Caatinga
2343,-3.23,-40.02,1229004.0245545085,Caatinga
2353,-3.240714,-41.495,6144949.248248741,Caatinga
2354,-3.25,-41.335,4915921.513806775,Caatinga
2355,-3.245,-41.19,2457972.6118438304,Caatinga
2356,-3.245,-41.17,2457972.611846021,Caatinga
2357,-3.24,-40.7,1228992.2242822354,Caatinga
