id,latitude,longitude,area(m²),bioma
3628,-4.18,-41.99,1227720.3014287162,Cerrado
3633,-4.52,-43.34,3681542.9525478436,Cerrado
3634,-4.635,-43.145,4907956.152591099,Cerrado
3639,-5.38,-45.47,1225629.0117155118,Cerrado
3640,-5.585,-45.165,3675647.865107145,Cerrado
3641,-5.63,-46.07,1225127.3816116904,Cerrado
3642,-5.64,-46.06,1225106.8437025964,Cerrado
3643,-5.67,-46.4,1225045.011826174,Cerrado
3645,-5.97,-45.395,2448817.3977324083,Cerrado
3646,-5.99,-45.45,3673095.3447675495,Cerrado
3647,-6.065,-47.29,7345202.255955487,Cerrado
3648,-6.3,-44.54,1223670.9781115537,Cerrado
3649,-6.355,-42.875,4894176.694977892,Cerrado
3650,-6.5,-44.57,1223204.621432699,Cerrado
3651,-6.51,-44.73,1223180.9222668316,Cerrado
3652,-6.52,-44.74,1223157.186791696,Cerrado
3662,-7.075,-45.6,2443565.891095329,Cerrado
3664,-7.245,-44.73,2442679.291011949,Cerrado
3666,-7.415,-45.01,2441771.7265632814,Cerrado
3670,-7.65,-45.335,4880965.267902099,Cerrado
3673,-7.885,-44.69,2439153.52681126,Cerrado
3674,-7.9,-44.68,1219533.6699318718,Cerrado
3675,-7.915,-45.4,2438980.971780613,Cerrado
3676,-7.936667,-44.7,10974851.422690792,Cerrado
3677,-7.95,-44.725,4877557.648698508,Cerrado
3678,-7.995,-47.21,2438517.637107106,Cerrado
3679,-8.025,-47.175,4876685.382461844,Cerrado
3682,-8.1,-47.435,7313707.377558079,Cerrado
3683,-8.159545,-44.375909,19500437.724268764,Cerrado
3684,-8.161667,-44.368333,8531475.146440059,Cerrado
3685,-8.175,-45.971667,6093660.335397952,Cerrado
3686,-8.18,-44.37,1218714.2139556108,Cerrado
3687,-8.17,-44.35,9750070.48442031,Cerrado
3688,-8.19,-44.37,1218684.4225412046,Cerrado
3689,-8.25,-44.29,1218504.9136926264,Cerrado
3690,-8.26,-44.3,1218474.8688296494,Cerrado
3692,-8.329286,-44.217857,17055719.439563096,Cerrado
3693,-8.34,-44.24,1218233.2066442438,Cerrado
3694,-8.369,-44.25899999999999,6090740.33701696,Cerrado
3696,-8.39,-44.265,2436161.9826083267,Cerrado
3697,-8.41,-46.12,1218019.8517966678,Cerrado
3698,-8.44,-44.34,1217927.8710866522,Cerrado
3699,-8.45,-44.33,1217897.138471308,Cerrado
3700,-8.495,-49.791000000000004,9742128.833024183,Cerrado
3701,-8.545,-44.29,2435206.7382966527,Cerrado
3702,-8.56,-44.27,1217556.6912260517,Cerrado
3703,-8.57,-45.58,1217525.5243638651,Cerrado
3704,-8.57,-44.28,1217525.5243649604,Cerrado
3705,-8.58,-47.945,2434988.6426411136,Cerrado
3706,-8.58,-45.57,1217494.3213205568,Cerrado
3707,-8.605,-45.28,2434832.301799954,Cerrado
3708,-8.63,-45.28,1217337.7634025249,Cerrado
3709,-8.671667,-46.225,4868815.86246784,Cerrado
3710,-8.765,-48.330714,4867674.030664018,Cerrado
3711,-8.841667,-46.895,4866649.163004895,Cerrado
3713,-9.015,-49.398333,6080526.274853507,Cerrado
3714,-9.045,-46.288999999999994,7296053.373754676,Cerrado
3715,-9.055,-44.535,3647927.996658488,Cerrado
3716,-9.065,-49.57,2431875.104163601,Cerrado
3717,-9.06,-46.845,2431908.0792231774,Cerrado
3718,-9.06,-44.56,1215954.0396126842,Cerrado
3719,-9.07,-44.55,1215921.0645531071,Cerrado
3720,-9.1,-46.245,4863287.653921257,Cerrado
3721,-9.12,-44.47,1215755.64711013,Cerrado
3722,-9.2,-48.4,1215489.0999175026,Cerrado
3724,-9.225,-48.075,4861621.300463086,Cerrado
3725,-9.245,-49.57,2430676.292579429,Cerrado
3726,-9.265,-49.295,3645795.619920301,Cerrado
3727,-9.375,-48.03,2429795.922837219,Cerrado
3728,-9.47,-44.84,1214572.4318478226,Cerrado
3729,-9.48,-44.87,1214537.9754958437,Cerrado
3730,-9.49,-44.855,4858013.896014862,Cerrado
3731,-9.51,-45.015,4857737.522954447,Cerrado
3732,-9.52,-45.01,1214399.788967827,Cerrado
3733,-9.521666999999999,-44.999444,7286329.423892689,Cerrado
3734,-9.54,-44.955,2428660.958089583,Cerrado
3735,-9.59,-49.72,1214156.572367659,Cerrado
3736,-9.59,-44.94,1214156.5723687543,Cerrado
3737,-9.6,-49.71,1214121.682717341,Cerrado
3739,-9.725,-47.54,2427365.0233358014,Cerrado
3741,-9.875,-49.801667,6065758.289433584,Cerrado
3744,-9.955,-49.895,4851438.846469861,Cerrado
3745,-10.15,-47.88,1212147.176452421,Cerrado
3746,-10.16,-49.475,2424220.532641476,Cerrado
3747,-10.16,-47.87,1212110.266320738,Cerrado
3748,-10.275,-46.995,3635068.2833197014,Cerrado
3749,-10.435,-46.175,4844324.426944108,Cerrado
3750,-10.505,-48.265,3632425.279431847,Cerrado
3754,-10.635,-44.32,2420631.0282188472,Cerrado
3757,-10.695,-49.435,4840332.107587554,Cerrado
3760,-10.795,-51.425,4838770.670465496,Cerrado
3761,-10.832272999999999,-46.164091,8466807.578962963,Cerrado
3762,-10.87,-49.78,1209397.5401344358,Cerrado
3764,-10.9,-45.985,2418557.8408712647,Cerrado
3765,-10.94,-45.52,1209120.256984204,Cerrado
3766,-10.95,-45.51,1209080.501153747,Cerrado
3767,-10.978333000000001,-46.475,6044765.153030317,Cerrado
3768,-10.995,-45.88,2417802.3002318633,Cerrado
3771,-11.013,-46.556999999999995,14505734.312890954,Cerrado
3772,-11.095,-46.548333,6042479.820986013,Cerrado
3774,-11.135,-46.95,9666708.191543847,Cerrado
3779,-11.1875,-47.485,10873040.002366874,Cerrado
3782,-11.25,-46.83,1207871.0973189531,Cerrado
3783,-11.26,-46.82,1207830.2263829105,Cerrado
3784,-11.285,-46.925,3623204.1511293855,Cerrado
3785,-11.305,-46.9,2415291.7154693683,Cerrado
3793,-11.59,-49.44,1206461.3199551215,Cerrado
3796,-11.665,-44.835,4824578.972622272,Cerrado
3798,-11.71,-50.51,1205953.834487577,Cerrado
3799,-11.72,-50.525,2411822.621160143,Cerrado
3802,-11.77,-49.495,2411396.3047914817,Cerrado
3804,-11.83,-45.74,1205441.1776847604,Cerrado
3805,-11.84,-45.75,1205398.222910413,Cerrado
3806,-11.87,-48.185,2410538.286392238,Cerrado
3808,-11.92,-49.69,1205053.2924327392,Cerrado
3814,-12.08,-49.835,2408713.081870698,Cerrado
3819,-12.215,-49.845,3611306.685143792,Cerrado
3825,-12.32,-44.68,1203294.1952003823,Cerrado
3830,-12.399000000000001,-45.663000000000004,9623528.815733276,Cerrado
3833,-12.46,-44.775,2405329.9131679074,Cerrado
3836,-12.55,-45.01,1202256.7369391832,Cerrado
3837,-12.57,-44.27,1202165.6273591656,Cerrado
3838,-12.59,-45.375,2404148.748967975,Cerrado
3846,-12.74,-58.725,2402770.822661264,Cerrado
3847,-12.785,-45.801667,4804662.226656201,Cerrado
3848,-12.79,-59.0,1201153.966523548,Cerrado
3849,-12.815,-58.325,3603136.946021625,Cerrado
3850,-12.825,-45.508333,6004980.3426647885,Cerrado
3854,-12.91,-58.65,1200594.847696272,Cerrado
3859,-12.98,-55.31,1200266.3151416774,Cerrado
3860,-12.99,-55.635,2400438.477587772,Cerrado
3861,-13.0,-58.835,2400344.2533404455,Cerrado
3864,-13.048636,-45.115909,14399043.01034498,Cerrado
3865,-13.08,-58.92,1199793.9418272865,Cerrado
3872,-13.38,-52.43,1198355.3659050714,Cerrado
3877,-13.502273,-45.360455,5988805.673751373,Cerrado
3878,-13.53,-54.795,2395248.031878104,Cerrado
3879,-13.555,-57.92,7185007.959043028,Cerrado
3880,-13.58,-55.54,1197378.4466054272,Cerrado
3881,-13.59,-55.55,1197329.225601225,Cerrado
3882,-13.59,-54.88,1197329.225601225,Cerrado
3886,-13.695,-56.56,2393620.4897417384,Cerrado
3887,-13.73,-45.75,1196636.3825948534,Cerrado
3888,-13.76,-59.175,2392974.0119029838,Cerrado
3889,-13.8625,-44.685,5979833.308616996,Cerrado
3890,-13.861667,-44.655,8371656.139988145,Cerrado
3892,-14.57,-55.8075,8346274.896745085,Cerrado
3893,-14.645,-45.655,3575834.576837553,Cerrado
3894,-14.65,-45.91,1191909.525895526,Cerrado
3895,-14.755,-46.58,2382701.755820452,Cerrado
3896,-14.815,-53.58,2382059.784611255,Cerrado
3897,-14.965,-45.155,3570692.55303137,Cerrado
3898,-15.01,-45.19,1189977.8536756234,Cerrado
3899,-15.02,-45.18,1189923.5384277652,Cerrado
