id,latitude,longitude,area(m²),bioma
13185,-27.9,-53.89,1091029.5794690612,Pampa
13359,-28.15,-55.475,2177102.934447584,Pampa
13443,-28.269000000000002,-55.659,5436873.04804538,Pampa
13455,-28.28,-52.335,2174509.363380227,Pampa
13538,-28.37,-55.07,3259060.879525825,Pampa
13701,-28.575,-54.725,3252823.368366421,Pampa
13766,-28.65,-55.07,1083533.3032685409,Pampa
13778,-28.669,-55.095,8666646.76666634,Pampa
13805,-28.72,-54.76,1082824.183746391,Pampa
13817,-28.72375,-54.73875,5413918.016916433,Pampa
13828,-28.74,-54.605,2165242.5638661203,Pampa
13837,-28.763571000000002,-55.003570999999994,9741357.873480096,Pampa
13849,-28.76,-55.01,1082418.2484968526,Pampa
13850,-28.771666999999997,-54.595,10823369.89061482,Pampa
13885,-28.820833,-54.914167000000006,6490850.119048158,Pampa
13902,-28.836111,-54.889444,4326520.992039006,Pampa
13903,-28.848333,-53.995,4326113.675313327,Pampa
13915,-28.8575,-55.276667,16221830.854344435,Pampa
13916,-28.865,-55.25,2162700.3204524405,Pampa
13921,-28.875,-53.98,2162496.4977083183,Pampa
13932,-28.885,-55.2,2162292.60922614,Pampa
13949,-28.904090999999998,-55.170455000000004,8647538.474487469,Pampa
13950,-28.903333,-54.733889000000005,15133396.235276336,Pampa
13966,-28.92,-53.735,4323156.980209467,Pampa
14008,-28.97,-54.72,1080278.4558652926,Pampa
14017,-28.98,-54.71,1080176.1994768726,Pampa
14036,-29.009,-55.161,6479420.076550015,Pampa
14037,-29.0,-55.14,1079971.58817619,Pampa
14038,-29.005,-54.098333,4319783.997785926,Pampa
14053,-29.02,-54.215,2159533.6910353717,Pampa
14062,-29.03,-55.59,3238993.2748036333,Pampa
14063,-29.03,-54.865,2159328.849866168,Pampa
14064,-29.035,-54.23,2159226.39645854,Pampa
14084,-29.07,-56.288332999999994,19426271.30998153,Pampa
14085,-29.05,-56.28,1079459.4852860395,Pampa
14126,-29.1,-56.42,1078946.5617545138,Pampa
14127,-29.1,-54.195,2157893.1235090275,Pampa
14138,-29.11,-56.44,1078843.8785988444,Pampa
14152,-29.126765000000002,-56.412059,11865536.165115684,Pampa
14153,-29.125,-53.67,2157379.57649772,Pampa
14158,-29.13,-53.835,2157276.827720093,Pampa
14159,-29.135,-53.73,2157174.0461479183,Pampa
14171,-29.14,-56.44,1078535.6322856806,Pampa
14172,-29.151667,-56.338333,7549235.321299302,Pampa
14173,-29.14,-53.51,3235606.8968526614,Pampa
14182,-29.15,-56.03,1078432.817908003,Pampa
14183,-29.15,-53.315,2156865.635811625,Pampa
14192,-29.165,-56.351667000000006,4313011.24297925,Pampa
14193,-29.16,-56.345,2156659.941449647,Pampa
14194,-29.16,-56.02,1078329.9707248234,Pampa
14199,-29.17,-56.01,1078227.0907514754,Pampa
14221,-29.204091,-56.412273,14012731.11665869,Pampa
14258,-29.27,-55.25,1077196.4877296027,Pampa
14264,-29.285,-54.17,4308166.441966802,Pampa
14266,-29.286111,-55.236111,5385053.14244467,Pampa
14526,-29.755,-51.6,2144303.241970079,Pampa
14534,-29.77,-51.815,2143988.745641425,Pampa
14537,-29.78,-52.65,1071889.4971946566,Pampa
14543,-29.79,-52.635,2143569.1778810653,Pampa
14565,-29.92,-51.885,2140835.626292846,Pampa
14574,-29.99,-53.05,1069679.574855187,Pampa
14575,-30.0,-53.06,1069573.981915449,Pampa
14577,-30.035,-55.6,2138408.292071092,Pampa
14584,-30.16,-55.025,2135760.133053569,Pampa
14591,-30.22,-51.93,1067242.7005980392,Pampa
14592,-30.23,-53.675,2134272.7182413717,Pampa
14593,-30.23,-51.945,2134272.7182369907,Pampa
14595,-30.24,-51.885,2134059.9702671072,Pampa
14601,-30.335,-51.735,3198106.770997355,Pampa
14603,-30.34,-51.985,2131928.915381896,Pampa
14617,-30.47,-52.525,2129148.832606255,Pampa
14628,-30.525,-52.765,4255938.666899684,Pampa
14629,-30.522857000000002,-51.445714,8511984.51973582,Pampa
14633,-30.605,-52.44,4252500.415463264,Pampa
14634,-30.62,-53.155,2125927.4178277063,Pampa
14637,-30.64,-54.485,2125496.7936668424,Pampa
14640,-30.72,-52.73,1061885.8527031248,Pampa
14642,-30.73,-52.72,1061777.8889547037,Pampa
14643,-30.73,-52.475,2123555.777909407,Pampa
14644,-30.7375,-52.44,5308565.424030201,Pampa
14646,-30.75,-54.545,2123123.7286763075,Pampa
14647,-30.749615000000002,-52.315769,10615510.48538713,Pampa
14648,-30.78,-52.92,1061237.5846425374,Pampa
14651,-30.79,-52.935,2122258.8533663563,Pampa
14658,-30.885,-52.5,2120200.6170682847,Pampa
14663,-30.93,-52.44,1059611.818848754,Pampa
14664,-30.94,-52.45,1059503.1758034434,Pampa
14665,-30.94,-52.44,1059503.1757990622,Pampa
14666,-30.94,-52.43,1059503.175801253,Pampa
14667,-30.95,-52.44,1059394.5004345495,Pampa
14670,-31.02,-52.46,1058632.8682169141,Pampa
14672,-31.03,-52.45,1058523.934414879,Pampa
14681,-31.31,-53.23,1055460.6875310338,Pampa
14682,-31.32,-53.22,1055350.8183932274,Pampa
14683,-31.341666999999998,-53.251667000000005,8441157.737050889,Pampa
14692,-31.49,-52.76,1053478.1171212557,Pampa
14693,-31.5,-52.77,1053367.66862549,Pampa
14703,-31.68,-53.165,2102748.198217476,Pampa
14712,-31.76,-53.645,2100969.4558835896,Pampa
