id,latitude,longitude,area(m²),bioma
8398,-15.745,-57.835,4743564.335233197,Pantanal
8443,-16.18,-59.08,1183382.173548616,Pantanal
8450,-16.25,-58.59,1182972.1838919194,Pantanal
8452,-16.275,-58.805,3548505.394753474,Pantanal
8455,-16.28,-57.82,1182795.9434667265,Pantanal
8468,-16.38,-58.285,2364412.3537119785,Pantanal
8482,-16.69,-56.29,1180355.4408895082,Pantanal
8483,-16.705,-56.29833299999999,5901294.968090832,Pantanal
8487,-16.82,-56.455,2359138.450978141,Pantanal
8495,-16.97,-56.18,1178654.6434931392,Pantanal
8509,-17.135,-56.481667,8243445.129882937,Pantanal
8518,-17.26,-56.66,1176863.955864581,Pantanal
8522,-17.31,-56.69,1176552.2215736608,Pantanal
8523,-17.31,-56.66,1176552.2215758516,Pantanal
8525,-17.32,-56.67,1176489.7690629656,Pantanal
8536,-17.48,-55.39,1175485.7406302444,Pantanal
8538,-17.49,-55.38,1175422.6896644768,Pantanal
8549,-17.705,-55.11,7044351.483418003,Pantanal
8551,-17.725,-55.795,3521824.5296195117,Pantanal
8552,-17.72,-55.09,1173962.808238964,Pantanal
8554,-17.741,-57.231,7043073.792463045,Pantanal
8560,-17.835,-55.91,2346451.7763660555,Pantanal
8575,-17.945,-55.865,4690066.656428123,Pantanal
8576,-17.983570999999998,-55.329285999999996,11722965.85346297,Pantanal
8578,-18.0,-55.31,1172160.4627603637,Pantanal
8579,-18.04,-56.89,1171900.7369117672,Pantanal
8581,-18.05,-56.9,1171835.7176826878,Pantanal
8582,-18.05,-55.89,1171835.717683783,Pantanal
8583,-18.06,-55.88,1171770.663346946,Pantanal
8597,-18.295,-55.763332999999996,9361985.931538224,Pantanal
8605,-18.475,-55.28,2338079.9343374115,Pantanal
8617,-18.921154,-57.33576899999999,8162313.817944905,Pantanal
8618,-18.92,-57.25,1166044.8411239977,Pantanal
8620,-18.94,-57.36,1165908.6015935466,Pantanal
8621,-18.945,-57.27,2331749.0309792846,Pantanal
8624,-18.995,-57.271,13986261.74098434,Pantanal
8627,-19.02,-57.3,1165362.2451448843,Pantanal
8628,-19.026429,-57.265,3495949.831762552,Pantanal
8629,-19.045,-55.8,2330382.0913120983,Pantanal
8631,-19.07,-56.985,2330039.2729974845,Pantanal
8632,-19.105,-55.46,2329558.572664873,Pantanal
8635,-19.2,-56.385,2328249.5331031447,Pantanal
8636,-19.200714,-57.223571,10477122.689451206,Pantanal
8637,-19.21,-56.4,1164055.6859253272,Pantanal
8642,-19.256429,-57.426429000000006,10473803.258171944,Pantanal
8653,-19.375,-57.31,2325821.6227730946,Pantanal
8656,-19.545,-57.73,2323442.6271355096,Pantanal
8657,-19.56,-57.69,3484847.6352648614,Pantanal
8658,-19.57,-57.71,1161545.5418509531,Pantanal
8659,-19.585,-57.92,2322879.9345577587,Pantanal
8660,-19.58,-57.7,1161475.170420424,Pantanal
8662,-19.59,-57.67,1161404.7641395254,Pantanal
8663,-19.577,-57.915667000000006,19744936.56176415,Pantanal
8670,-19.74,-57.435,2320688.976963803,Pantanal
8677,-19.76,-56.28,1160202.5262072985,Pantanal
8689,-19.81,-57.335,2319694.0222545317,Pantanal
8691,-19.816429,-57.390714,5799021.433228735,Pantanal
8709,-19.97,-57.67,1158703.514974326,Pantanal
8714,-19.995,-57.68,2317048.0694070216,Pantanal
8717,-20.01,-55.795,2316832.4982976224,Pantanal
8725,-20.075,-57.975,3473880.8090306767,Pantanal
8726,-20.07,-57.47,1157984.307028655,Pantanal
8730,-20.12,-57.443999999999996,27783465.11067858,Pantanal
8731,-20.13,-57.91,1157551.1131812278,Pantanal
8732,-20.134231,-57.886538,9260191.839239962,Pantanal
8733,-20.155,-57.865,3472074.5310943783,Pantanal
8734,-20.16,-58.05,1157334.0469768443,Pantanal
8735,-20.16,-57.42,1157334.046979035,Pantanal
8736,-20.17,-58.07,1157261.6220633958,Pantanal
8737,-20.18,-57.955,4628756.614835334,Pantanal
8738,-20.17,-57.88,1157261.622061205,Pantanal
8742,-20.19,-58.07,1157116.6679822071,Pantanal
8743,-20.197941,-57.97911800000001,15041500.684716485,Pantanal
8745,-20.22,-58.04,3470696.928728856,Pantanal
8746,-20.22,-57.895,2313797.9524888243,Pantanal
8755,-20.3,-57.36,1156316.9363304842,Pantanal
8757,-20.32,-57.4,1156171.0790169586,Pantanal
8761,-20.33,-57.41,1156098.0982730277,Pantanal
8767,-20.415,-57.885,3466465.71386857,Pantanal
8768,-20.406429,-57.746429000000006,8088810.792001093,Pantanal
8769,-20.44,-57.875,2310586.0372382337,Pantanal
8772,-20.455,-57.91,2310365.8105601943,Pantanal
8773,-20.45,-57.86,1155219.6212961304,Pantanal
8774,-20.485,-57.95,2309924.906084652,Pantanal
8777,-20.555,-57.49,2308893.7003295855,Pantanal
8785,-20.715,-57.24,2306523.8966508526,Pantanal
8793,-20.76,-57.22,1152927.100194172,Pantanal
8794,-20.796429,-57.290714,5763293.5444524875,Pantanal
8795,-20.81,-57.365,4610216.841440777,Pantanal
8806,-20.96,-57.64,1151430.3805939702,Pantanal
8807,-20.965,-57.465,4605571.123328325,Pantanal
8808,-20.965455,-57.602273,26482221.50797679,Pantanal
8818,-21.116429,-57.645,3450744.8268060004,Pantanal
8861,-21.34,-57.76,1148548.4836546932,Pantanal
8862,-21.395,-57.44,2296254.456509727,Pantanal
