id,latitude,longitude,area(m²),bioma
54,-2.445,-48.685,4919266.361113705,Amazonia
55,-2.485,-49.38,2459561.236024079,Amazonia
57,-2.74,-42.865,2459075.168634882,Cerrado
58,-2.84,-42.1,1229435.8033459361,Cerrado
59,-2.84,-41.99,1229435.8033459361,Cerrado
60,-2.855,-42.185,3688255.4440305936,Cerrado
61,-2.85,-42.12,1229425.4247286592,Cerrado
62,-2.85,-42.065,4917701.662453126,Cerrado
63,-2.86,-42.05,1229415.0096498718,Cerrado
64,-2.87,-42.165,2458809.116236672,Cerrado
65,-2.915,-42.12,2458714.1410257085,Cerrado
66,-2.96,-42.24,1229308.8537921652,Cerrado
67,-2.97,-42.25,1229298.0376991923,Cerrado
68,-3.01,-48.88,1229254.4087932454,Amazonia
69,-3.02,-47.73,1229243.4104310542,Amazonia
70,-3.075,-42.645,4916729.053177844,Cerrado
71,-3.07,-42.29,1229187.8718321589,Cerrado
72,-3.105,-42.58,2458296.8960672896,Cerrado
73,-3.13,-42.6,1229120.022604989,Cerrado
74,-3.15,-42.69,7374605.595552479,Cerrado
75,-3.16,-48.91,1229085.6059083254,Amazonia
76,-3.165769,-47.608846,15978008.788345553,Amazonia
77,-3.22,-42.74,6145078.905454655,Cerrado
78,-3.255,-48.525,3686929.28952454,Amazonia
79,-3.26,-42.855,2457937.0287961275,Cerrado
80,-3.27,-47.07,1228956.6047839748,Amazonia
81,-3.275,-42.788333,6144759.131803723,Cerrado
82,-3.33,-42.2525,11059983.619314456,Cerrado
83,-3.38,-42.3,1228823.1936240445,Cerrado
84,-3.39,-42.31,1228810.846671168,Cerrado
85,-3.465,-42.62,4914868.313403957,Cerrado
88,-3.56,-42.92,1228595.3728698627,Cerrado
90,-3.57,-42.91,1228582.3699821883,Cerrado
92,-3.585,-42.925,3685694.9162000325,Cerrado
93,-3.59,-38.87,1228556.2548902147,Caatinga
94,-3.6,-38.85,1228543.1426902965,Caatinga
95,-3.63,-43.045,2457007.1749277273,Cerrado
96,-3.65,-43.03,3685431.068967473,Cerrado
97,-3.678636,-41.532273,9827468.550287921,Cerrado
98,-3.771667,-43.175,4913244.838133437,Cerrado
99,-3.765,-43.125,3684971.4451195677,Cerrado
100,-3.838333,-42.911667,8597536.549873764,Cerrado
101,-3.86,-42.98,1228189.4369489243,Cerrado
102,-3.87,-54.225,2456350.6821098207,Amazonia
103,-3.87,-42.99,1228175.3410549103,Cerrado
104,-3.87,-42.97,1228175.3410549103,Cerrado
105,-3.89,-47.95,1228147.039980925,Amazonia
