id,latitude,longitude,area(m²),bioma
252,4.905,-60.065,3679549.482094901,Amazonia
261,4.575,-60.255,3681277.6872976767,Amazonia
262,4.58,-60.235,2454162.8829107,Amazonia
269,4.315,-60.66,2455022.3895408767,Amazonia
271,4.225,-59.935,3682946.297233765,Amazonia
275,4.2,-59.965,2455379.484248768,Amazonia
278,4.021667,-51.625,6139812.2628964875,Amazonia
279,3.96,-59.71,1228046.83876652,Amazonia
280,3.941667,-59.646111,14736749.355248606,Amazonia
281,3.95,-59.775,2456122.5250105257,Amazonia
282,3.945,-59.725,3684198.1748291655,Amazonia
286,3.93,-59.72,1228090.0007044582,Amazonia
287,3.93,-59.58,1228090.0007044582,Amazonia
288,3.92,-59.71,1228104.3151649106,Amazonia
289,3.93,-59.6775,12280899.715635078,Amazonia
291,3.905,-51.51,2456251.4279998546,Amazonia
292,3.875,-59.74166700000001,6140834.308301075,Amazonia
298,3.8505559999999996,-51.759444,8597452.484525053,Amazonia
306,3.76,-60.48,1228328.3922387015,Amazonia
307,3.7616669999999996,-51.648333,8598284.94120064,Amazonia
308,3.75,-60.47,1228342.0873945379,Amazonia
310,3.741,-51.605,9826832.237368476,Amazonia
311,3.715,-51.725,4913558.915937837,Amazonia
317,3.675,-51.72,2456887.2704332857,Amazonia
323,3.585,-51.385,3685681.8404320525,Amazonia
328,3.5610000000000004,-51.281000000000006,15971622.347611945,Amazonia
330,3.543571,-51.427857,13514756.309687745,Amazonia
334,3.53,-51.45,1228634.1629029221,Amazonia
336,3.5210000000000004,-51.458999999999996,7371894.904471575,Amazonia
342,3.48,-51.49,6143490.384418095,Amazonia
344,3.46,-51.49,1228723.3975946102,Amazonia
346,3.4389999999999996,-51.278999999999996,6143755.319010882,Amazonia
348,3.415,-60.925,3686345.674015535,Amazonia
349,3.4,-51.295,14745531.62481708,Amazonia
352,3.38,-51.315,2457646.387248089,Amazonia
353,3.345,-51.295,3686592.24865182,Amazonia
354,3.34,-51.38,1228872.2170000689,Amazonia
355,3.34,-51.3,1228872.2170022596,Amazonia
356,3.33,-60.245,2457768.7634726004,Amazonia
357,3.33,-60.035,2457768.763474791,Amazonia
360,3.3338,-51.341,33179743.2921344,Amazonia
361,3.3,-51.31,1228920.6572668375,Amazonia
362,3.285,-60.27,2457877.334943166,Amazonia
363,3.2976669999999997,-60.228333,17204960.950987484,Amazonia
364,3.299286,-60.031429,9831377.20419168,Amazonia
365,3.28,-60.06,1228944.6587258994,Amazonia
366,3.27,-60.28,1228956.604786165,Amazonia
369,3.23,-51.33,1229004.0245556035,Amazonia
371,3.22,-51.34,1229015.788378414,Amazonia
372,3.205,-60.995,3687094.238192314,Amazonia
373,3.21,-51.355,2458055.031510096,Amazonia
374,3.19,-51.265,2458101.722324236,Amazonia
375,3.075,-60.075,3687552.398426557,Amazonia
376,3.03,-60.15,1229232.3756194005,Amazonia
377,3.02,-60.16,1229243.410429959,Amazonia
378,3.015,-60.135,3687741.229654258,Amazonia
379,2.995,-60.58,2458541.666854404,Amazonia
380,2.97,-60.57,1229298.0376991923,Amazonia
381,2.96,-60.56,1229308.85379107,Amazonia
383,2.86,-63.58,1229415.0096498718,Amazonia
384,2.8310000000000004,-51.101000000000006,11065025.54233694,Amazonia
386,2.81,-51.08,1229466.720453895,Amazonia
389,2.759545,-51.075909,9836140.085447187,Amazonia
390,2.7296150000000003,-51.053461999999996,9836390.399768325,Amazonia
391,2.695,-51.365,4918328.766822582,Amazonia
392,2.68,-63.75,1229596.9028369936,Amazonia
394,2.67,-63.74,1229606.6616414494,Amazonia
396,2.653571,-50.905,3688868.523728103,Amazonia
398,2.61,-51.01,1229664.4487797504,Amazonia
399,2.605,-50.87,2459338.401132288,Amazonia
401,2.575,-50.86,2459395.0943858437,Amazonia
402,2.535,-50.945,11067608.646876337,Amazonia
404,2.536667,-50.999167,15986566.435861684,Amazonia
406,2.5,-50.98,1229766.9825483726,Amazonia
409,2.449545,-50.947727,9838514.845499285,Amazonia
410,2.44,-50.97,1229821.0503464493,Amazonia
411,2.415,-50.9,2459686.3731647683,Amazonia
412,2.395,-50.995,3689577.836454639,Amazonia
413,2.385,-51.008333,6149351.62408546,Amazonia
414,2.39,-51.0,1229865.1040174935,Amazonia
415,2.369545,-50.927727000000004,9839076.982049406,Amazonia
417,2.319444,-50.899444,7379542.966097122,Amazonia
418,2.31,-55.93,1229933.693568855,Amazonia
419,2.3,-55.915,2459884.206310074,Amazonia
420,2.300455,-50.952273,11069453.663165418,Amazonia
421,2.29,-55.93,1229950.4762709455,Amazonia
422,2.275,-55.91,2459925.9260063367,Amazonia
424,2.265,-50.905,3689917.866689304,Amazonia
425,2.255,-55.865,4919917.961675305,Amazonia
426,2.25,-55.97,1229983.60403514,Amazonia
427,2.24,-50.9,3689975.3844056283,Amazonia
429,2.211667,-50.901666999999996,8610104.883637099,Amazonia
430,2.215,-50.87,2460024.215200596,Amazonia
432,2.18,-55.9,1230040.1735134223,Amazonia
433,2.185,-50.873889,6150184.923685674,Amazonia
434,2.17,-50.71,1230048.1089805826,Amazonia
435,2.16,-50.995,2460112.015957131,Amazonia
436,2.180926,-55.877221999999996,28290834.54882638,Amazonia
437,2.15,-55.92,1230063.8705062757,Amazonia
438,2.145,-50.895,3690199.437564217,Amazonia
439,2.14,-55.91,1230071.6965560464,Amazonia
440,2.14,-50.9,1230071.6965560464,Amazonia
441,2.13,-50.87,1230079.4861399254,Amazonia
442,2.12,-50.68,1230087.2392480553,Amazonia
443,2.11,-50.695,2460189.911767444,Amazonia
444,2.103857,-50.878143,45513780.24031015,Amazonia
445,2.078333,-50.958333,9840935.415460246,Amazonia
448,2.05,-55.89,1230140.4897628522,Amazonia
451,2.03,-50.855,2460310.751865998,Amazonia
453,2.02,-50.89,1230162.764305544,Amazonia
454,2.0,-50.82,1230177.4316299588,Amazonia
