id,latitude,longitude,area(m²),bioma
68,-3.549,-39.949,17200697.55198449,Caatinga
71,-3.57,-39.94,1228582.3699810929,Caatinga
72,-3.595,-38.87,2457099.397579416,Caatinga
79,-3.795,-40.28,2456560.3354623932,Caatinga
101,-4.44,-40.93,1227311.6690876193,Caatinga
102,-4.455,-40.915,3681870.1381152263,Caatinga
111,-4.7,-38.025,2453756.849051888,Caatinga
113,-4.71,-38.735,2453722.539688317,Caatinga
114,-4.71,-38.01,1226861.2698441586,Caatinga
116,-4.7330000000000005,-38.719667,14721921.887960685,Caatinga
117,-4.75,-38.7,1226792.2871535963,Caatinga
121,-4.808333,-37.448333,6133473.607011818,Caatinga
130,-4.9,-37.46,3679585.247227817,Caatinga
132,-4.915,-40.135,14717982.90089172,Caatinga
133,-4.931667,-38.281667,26982782.44589108,Caatinga
134,-4.95,-37.34,1226438.6390080487,Caatinga
135,-4.96,-37.35,1226420.5744960248,Caatinga
136,-4.9719999999999995,-37.436,11037585.878595632,Caatinga
137,-4.981667,-37.321667,8584690.28134514,Caatinga
138,-4.99,-37.4,1226366.1626235207,Caatinga
139,-5.015,-37.414091,13489425.474094167,Caatinga
140,-5.045,-38.016428999999995,6131355.350238377,Caatinga
141,-5.05,-37.99,1226256.356453834,Caatinga
142,-5.14,-37.93,1226089.1912843722,Caatinga
143,-5.163889,-37.598333000000004,17164741.361480843,Caatinga
144,-5.161667,-40.709444,9808356.478568453,Caatinga
145,-5.165,-37.895,3678136.101249513,Caatinga
146,-5.18,-37.915,4904055.798979896,Caatinga
147,-5.185,-37.645,3678022.947901112,Caatinga
148,-5.19,-37.63,1225995.0484122587,Caatinga
149,-5.2,-37.61,1225976.1107012734,Caatinga
150,-5.21,-37.65,1225957.1366120179,Caatinga
151,-5.21,-37.62,1225957.1366109229,Caatinga
152,-5.22,-37.64,1225938.1261444923,Caatinga
153,-5.22,-37.61,1225938.1261455878,Caatinga
161,-5.47,-36.86,1225451.0431297228,Caatinga
166,-5.595,-37.375,4900795.893704691,Caatinga
