id,latitude,longitude,area(m²),bioma
1883,-2.8,-43.9,1229476.9532415587,Cerrado
1889,-2.81,-43.89,1229466.7204517045,Cerrado
1894,-2.8164290000000003,-43.135,3688379.6228699083,Cerrado
1901,-2.84,-43.21,1229435.803345936,Cerrado
1902,-2.84,-42.84,1229435.8033448409,Cerrado
1903,-2.84,-42.82,1229435.8033448409,Cerrado
1905,-2.85,-42.83,1229425.4247286592,Cerrado
1910,-2.865,-42.055,3688234.57741808,Cerrado
1931,-2.91,-42.755,2458724.7748396057,Cerrado
1932,-2.91,-42.05,1229362.387420898,Cerrado
1935,-2.92,-42.77,1229351.7536048105,Cerrado
1936,-2.925,-42.035,3688044.590545595,Cerrado
1941,-2.93625,-42.99875,4917332.213160523,Cerrado
1942,-2.94,-42.04,1229330.376607818,Cerrado
1943,-2.945,-41.95,2458650.0100336364,Cerrado
1951,-2.95,-42.185,2458639.266853827,Cerrado
1955,-2.96,-42.92,1229308.853789975,Cerrado
1956,-2.96,-42.17,1229308.8537921652,Cerrado
1957,-2.96,-42.025,4917235.378707151,Cerrado
1959,-2.97,-42.74,3687894.0766448285,Cerrado
1964,-2.97,-42.93,1229298.0376991923,Cerrado
1967,-2.98,-42.265,2458574.3703025607,Cerrado
1970,-2.99,-42.725,2458552.592310003,Cerrado
1971,-2.99,-42.46,1229276.296156097,Cerrado
1974,-3.0,-42.905,2458530.7414009958,Cerrado
1975,-3.0,-42.47,1229265.3706994024,Cerrado
1985,-3.01,-42.945,2458508.8175843004,Cerrado
1995,-3.025,-43.62,2458475.786047169,Cerrado
1996,-3.02,-43.335,4916973.605270374,Cerrado
1997,-3.025,-43.12,2458475.7860482642,Cerrado
1998,-3.014333,-43.073667,13521754.393907735,Cerrado
1999,-3.016429,-42.925,3687741.229654258,Cerrado
2000,-3.023571,-42.719286,13521633.193225766,Cerrado
2001,-3.02,-42.51,1229243.4104310542,Cerrado
2008,-3.03,-43.43,1229232.3756161148,Cerrado
2009,-3.035,-43.39,2458453.6799656367,Cerrado
2010,-3.03,-42.99,1229232.37561721,Cerrado
2011,-3.03,-42.975,2458464.75123661,Cerrado
2012,-3.0264290000000003,-42.675,3687708.1616665693,Cerrado
2013,-3.03,-42.63,3687697.12685163,Cerrado
2014,-3.03,-42.585,2458464.75123442,Cerrado
2016,-3.04,-43.42,1229221.3043517126,Cerrado
2017,-3.025714,-42.971429,9833880.92875766,Cerrado
2018,-3.04,-42.93,1229221.304350617,Cerrado
2019,-3.04,-42.56,1229221.304350617,Cerrado
2021,-3.031,-42.528999999999996,7375372.038262388,Cerrado
2023,-3.019286,-42.167,29501873.71539668,Cerrado
2033,-3.069,-43.089,8604314.957023976,Cerrado
2034,-3.05,-42.94,1229210.1966290858,Cerrado
2035,-3.05,-42.93,1229210.1966290858,Cerrado
2036,-3.05,-42.915,2458420.3932603626,Cerrado
2037,-3.05,-42.735,2458420.3932603626,Cerrado
2038,-3.05,-42.55,1229210.1966301813,Cerrado
2039,-3.05,-42.28,1229210.1966301813,Cerrado
2049,-3.065,-43.84,2458386.924292441,Cerrado
2050,-3.06,-43.39,1229199.0524569966,Cerrado
2051,-3.06,-42.955,2458398.104918374,Cerrado
2052,-3.06,-42.94,1229199.052459187,Cerrado
2053,-3.06,-42.93,1229199.052459187,Cerrado
2054,-3.06,-42.72,1229199.0524569966,Cerrado
2055,-3.06,-42.505,2458398.104916184,Cerrado
2056,-3.06,-42.29,1229199.0524569966,Cerrado
2057,-3.06,-41.98,1229199.0524569966,Cerrado
2066,-3.07,-43.4,1229187.8718321586,Cerrado
2067,-3.07,-42.94,1229187.8718321586,Cerrado
2068,-3.07,-42.71,1229187.8718332541,Cerrado
2069,-3.07,-42.625,2458375.7436665082,Cerrado
2070,-3.07,-41.97,1229187.8718321586,Cerrado
2079,-3.085,-43.295,3687518.7107443362,Cerrado
2080,-3.08,-43.13,1229176.6547578585,Cerrado
2081,-3.08,-42.925,2458353.309513526,Cerrado
2082,-3.085,-42.695,3687518.7107432415,Cerrado
2083,-3.08,-42.52,1229176.654756763,Cerrado
2084,-3.085,-42.415,3687507.457215097,Cerrado
2085,-3.0789999999999997,-42.363,12291721.497003404,Cerrado
2086,-3.08,-42.17,1229176.6547578585,Cerrado
2094,-3.09,-43.18,1229165.4012286193,Cerrado
2095,-3.09,-42.91,1229165.4012297143,Cerrado
2096,-3.09,-42.715,2458330.8024572385,Cerrado
2097,-3.09,-42.65,1229165.4012286193,Cerrado
2098,-3.095,-42.625,4916639.024959263,Cerrado
2099,-3.09,-42.28,3687496.2036836674,Cerrado
2111,-3.1,-43.25,1229154.111247727,Cerrado
2112,-3.096429,-42.506429,8604112.648682242,Cerrado
2113,-3.1,-42.06,1229154.1112488222,Cerrado
2121,-3.115,-42.895,3687405.6286891964,Cerrado
2122,-3.11,-42.65,1229142.7848173722,Cerrado
2123,-3.105,-42.21,4916593.792134578,Cerrado
2124,-3.11,-42.07,1229142.7848173722,Cerrado
2131,-3.12,-42.82,1229131.4219364594,Cerrado
2132,-3.12,-42.515,2458262.8438707283,Cerrado
2139,-3.125,-42.94,2458251.4445414483,Cerrado
2140,-3.125,-42.64,2458251.444540353,Cerrado
2141,-3.125,-42.4,2458251.4445414483,Cerrado
2142,-3.125,-42.18,2458251.444540353,Cerrado
2151,-3.115,-43.253846,31957380.98626305,Cerrado
2161,-3.136111,-42.919444,4916445.783067298,Cerrado
2162,-3.14,-42.19,1229108.586821865,Cerrado
2163,-3.14,-42.18,1229108.5868196746,Cerrado
2164,-3.14,-42.17,1229108.586821865,Cerrado
2165,-3.14,-42.13,1229108.586821865,Cerrado
2178,-3.155,-43.56,2458182.7204987,Cerrado
