id,latitude,longitude,area(m²),bioma
18614,-28.165,-55.498332999999995,5441960.801184447,Pampa
18626,-28.175,-55.46,2176605.029879925,Pampa
18803,-28.32,-55.56,3260563.6431925795,Pampa
18919,-28.401667,-55.361667000000004,7602368.80151901,Pampa
18948,-28.42,-55.645,2171703.804582457,Pampa
19014,-28.48,-55.02,3255746.1944224387,Pampa
19160,-28.59,-54.725,2168279.6716255955,Pampa
19202,-28.62,-54.55,1083836.7177535882,Pampa
19218,-28.63,-54.56,1083735.61252811,Pampa
19249,-28.65,-55.465,2167066.6065370818,Pampa
19250,-28.65,-54.555,2167066.6065370818,Pampa
19308,-28.7,-55.56,3249080.8617448187,Pampa
19309,-28.7,-55.38,1083026.95391713,Pampa
19325,-28.71,-55.37,1082925.5852881798,Pampa
19326,-28.715,-55.265,3248675.35432056,Pampa
19327,-28.71,-55.085,2165851.17057636,Pampa
19339,-28.725,-55.04,2165546.933040345,Pampa
19351,-28.73,-55.065,2165445.498587908,Pampa
19424,-28.79,-55.025,2164226.903191845,Pampa
19425,-28.79,-54.73,3246340.354785577,Pampa
19433,-28.796111,-54.69944399999999,4328148.812108683,Pampa
19454,-28.81,-55.135,2163820.1783780986,Pampa
19455,-28.81,-54.775,2163820.17838248,Pampa
19456,-28.81,-53.725,2163820.17838248,Pampa
19483,-28.84,-55.145,2163209.5978701524,Pampa
19491,-28.85,-55.115,2163005.9395040264,Pampa
19503,-28.86,-55.31,1081401.1076933509,Pampa
19547,-28.89,-54.335,2162190.6485494417,Pampa
19666,-28.985,-54.98,2160250.109722584,Pampa
19709,-29.02,-55.04,1079766.8455154954,Pampa
19710,-29.02,-53.795,2159533.6910353717,Pampa
19718,-29.03,-55.05,1079664.424933084,Pampa
19728,-29.042895,-54.497631999999996,12954333.549191056,Pampa
19753,-29.06,-55.43,1079356.966217025,Pampa
19766,-29.07,-55.44,1079254.4143315556,Pampa
19767,-29.07,-55.41,1079254.414329365,Pampa
19783,-29.08,-55.45,1079151.8296208694,Pampa
19784,-29.08,-55.175,2158303.6592417387,Pampa
19803,-29.09,-54.73,1079049.2120937284,Pampa
19818,-29.084286,-54.733571,15106894.007480893,Pampa
19827,-29.11,-55.955,2157687.7571976893,Pampa
19828,-29.115,-55.93,2157585.041234326,Pampa
19865,-29.150555999999998,-54.996111,8627770.953582792,Pampa
19866,-29.145,-54.325,3235401.2680973057,Pampa
19867,-29.14,-54.31,1078535.6322834902,Pampa
19873,-29.15,-55.02,1078432.8179058123,Pampa
19882,-29.16,-54.31,1078329.9707248234,Pampa
19896,-29.18,-55.635,6468745.002303609,Pampa
19938,-29.205,-55.42,2155733.49699425,Pampa
19956,-29.22,-55.43,1077712.199005925,Pampa
19987,-29.25,-55.585,2154805.741124889,Pampa
19995,-29.26,-56.385,4309198.749352356,Pampa
19996,-29.26,-55.6,1077299.6955323457,Pampa
20073,-29.345,-54.115,3229315.8773652418,Pampa
20166,-29.41,-55.61,1075748.139015249,Pampa
20179,-29.42,-55.655,2151288.8799203783,Pampa
20180,-29.425,-55.615,3226725.8563303063,Pampa
20279,-29.515,-55.93,4298734.677843278,Pampa
20307,-29.54,-55.945,2148794.998495675,Pampa
20409,-29.73,-54.13,1072413.548932533,Pampa
20410,-29.73,-54.1,1072413.5489347235,Pampa
20414,-29.74,-54.115,2144617.6077426486,Pampa
20415,-29.74,-54.08,1072308.8038691336,Pampa
20420,-29.75,-54.07,1072204.026162332,Pampa
20422,-29.76,-51.655,2144198.431624256,Pampa
20435,-29.79,-54.645,2143569.1778810653,Pampa
20464,-29.89,-54.5,3212201.1362894583,Pampa
20467,-29.9,-54.535,2141256.890099415,Pampa
20470,-29.915,-54.985,3211464.103937765,Pampa
20471,-29.906429,-53.805,3211674.7358366675,Pampa
20486,-29.95,-54.485,2140203.241657029,Pampa
20495,-29.97,-54.47,1069890.663010366,Pampa
20502,-29.98,-54.46,1069785.1352216194,Pampa
20525,-30.03,-52.15,3207771.022945122,Pampa
20532,-30.04,-52.045,2138302.5688512777,Pampa
20540,-30.05,-53.115,2138091.05726942,Pampa
20549,-30.056428999999998,-51.350714,5344910.27812685,Pampa
20553,-30.08,-54.52,1068728.0659140958,Pampa
20558,-30.09,-54.51,1068622.179897854,Pampa
20563,-30.1,-56.39,1068516.261330212,Pampa
20568,-30.11,-56.4,1068410.3102177423,Pampa
20587,-30.16,-55.045,2135760.133049188,Pampa
20592,-30.17,-51.965,2135547.8403695533,Pampa
20600,-30.166666999999997,-54.994443999999994,12813605.351120984,Pampa
20601,-30.18,-54.445,2135335.482622168,Pampa
20605,-30.19,-52.65,3202684.589749976,Pampa
20614,-30.205,-52.003889,5336957.600645078,Pampa
20651,-30.365,-54.528332999999996,5328434.4224489145,Pampa
20654,-30.367941,-52.674412,19181381.00422424,Pampa
20669,-30.45,-53.235,2129577.251779997,Pampa
20671,-30.46,-52.085,2129363.074632808,Pampa
20675,-30.49,-54.825,2128720.1538493405,Pampa
20683,-30.595,-54.56,2126465.32537331,Pampa
20710,-30.7,-55.25,3186305.0491728717,Pampa
20714,-30.71,-52.835,2123987.5681420164,Pampa
20716,-30.73,-52.49,1061777.888952513,Pampa
