id,latitude,longitude,area(m²),bioma
9410,-16.136,-56.203,5918136.662102412,Pantanal
9445,-16.26,-59.05,1182913.4724504936,Pantanal
9449,-16.275,-59.055,3548446.6125806607,Pantanal
9450,-16.27,-59.05,1182854.7256406357,Pantanal
9451,-16.27,-59.04,1182854.7256439212,Pantanal
9460,-16.31,-56.28,1182619.3847563136,Pantanal
9464,-16.32,-56.295,2365120.922261165,Pantanal
9472,-16.3525,-57.97625,29558817.76302297,Pantanal
9473,-16.36,-56.1,1182324.4130320558,Pantanal
9476,-16.357857,-56.06642900000001,13005568.401946794,Pantanal
9488,-16.41,-56.755,2364057.1149081164,Pantanal
9500,-16.465,-56.025,3545076.5468567167,Pantanal
9501,-16.46,-56.01,1181731.8182030402,Pantanal
9520,-16.52,-56.01,1181374.564891412,Pantanal
9521,-16.525,-55.495,9450757.784927854,Pantanal
9533,-16.543889,-55.68833299999999,12993687.596593352,Pantanal
9534,-16.555,-55.645,3543466.8399783014,Pantanal
9540,-16.575,-55.69,2362091.9218187733,Pantanal
9564,-16.68,-56.685,2360831.34377094,Pantanal
9572,-16.715,-56.705,4720818.818068487,Pantanal
9588,-16.805,-56.94,7077961.45596299,Pantanal
9590,-16.81,-57.13,1179629.9153633823,Pantanal
9594,-16.82,-57.14,1179569.2254901656,Pantanal
9604,-16.895,-56.56,4716451.689051551,Pantanal
9610,-16.94,-57.3,1178838.1948487759,Pantanal
9614,-16.949,-56.06100000000001,5893946.344908588,Pantanal
9619,-16.945,-56.586110999999995,18861165.18322753,Pantanal
9620,-16.96,-55.525,4714863.414914947,Pantanal
9622,-16.97,-56.07,1178654.6434931392,Pantanal
9630,-16.98,-56.37,1178593.3891718623,Pantanal
9631,-16.98,-56.09,1178593.3891718623,Pantanal
9634,-16.995,-56.585,4714005.748638168,Pantanal
9635,-16.99,-55.44,1178532.0995840142,Pantanal
9648,-17.046053,-55.333946999999995,35345768.11217816,Pantanal
9662,-17.095,-55.47,2355772.8515055627,Pantanal
9667,-17.16,-57.05,1177484.7824600444,Pantanal
9668,-17.156429,-56.155,3532516.236244506,Pantanal
9673,-17.17,-57.08,1177422.8583466243,Pantanal
9682,-17.23,-55.805,2354101.147522799,Pantanal
9683,-17.235,-55.475,3531089.550543544,Pantanal
9686,-17.24,-55.45,1176988.40302184,Pantanal
9703,-17.296818,-56.680909,35299935.56123853,Pantanal
9708,-17.3025,-56.785,10589531.644197792,Pantanal
9709,-17.31,-56.66,1176552.2215758516,Pantanal
9713,-17.33,-57.135,4705709.090122657,Pantanal
9714,-17.32,-56.66,1176489.7690629656,Pantanal
9720,-17.355,-57.15,2352541.807113937,Pantanal
9721,-17.355556,-56.223889,95281462.03740884,Pantanal
9726,-17.37,-56.22,1176176.978301695,Pantanal
9752,-17.42,-56.53,1175863.3073536458,Pantanal
9753,-17.422273,-56.15045500000001,10582643.910579504,Pantanal
9755,-17.43,-56.675,2351600.9351159283,Pantanal
9760,-17.415323,-56.067257999999995,38804115.07656504,Pantanal
9773,-17.48,-56.34,1175485.7406302444,Pantanal
9774,-17.495,-56.37,4701564.586350947,Pantanal
9775,-17.49,-56.35,1175422.6896644768,Pantanal
9788,-17.53,-55.85,1175170.133925377,Pantanal
9793,-17.513261,-55.851521999999996,29382032.235385437,Pantanal
9796,-17.55,-56.32,1175043.6449476238,Pantanal
9797,-17.55375,-56.2775,11750056.560404338,Pantanal
9798,-17.54625,-56.02125,5875281.486822495,Pantanal
9801,-17.56,-56.31,1174980.3476908696,Pantanal
9802,-17.5825,-55.95875,11748536.19495926,Pantanal
9817,-17.59,-56.29,1174790.2448458094,Pantanal
9822,-17.6,-56.28,1174726.80687873,Pantanal
9830,-17.61,-56.27,1174663.333739272,Pantanal
9831,-17.61,-55.94,1174663.3337381766,Pantanal
